Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
snOPYdb	Arabidopsis_thaliana300001	SnoR1b	sequence	LN809305	
snOPYdb	Arabidopsis_thaliana300002	SnoR1a	sequence	LN809304	
snOPYdb	Arabidopsis_thaliana300003	SnoR10-1	sequence	LN809270	
snOPYdb	Arabidopsis_thaliana300004	SnoR10-2	sequence	LN809271	
snOPYdb	Arabidopsis_thaliana300005	SnoR100	sequence	LN809272	
snOPYdb	Arabidopsis_thaliana300006	SnoR101	sequence	LN809274	
snOPYdb	Arabidopsis_thaliana300007	SnoR102	sequence	LN809275	
snOPYdb	Arabidopsis_thaliana300008	SnoR103	sequence	LN809277	
snOPYdb	Arabidopsis_thaliana300009	SnoR104	sequence	LN809278	
snOPYdb	Arabidopsis_thaliana300010	SnoR105	sequence	LN809279	
snOPYdb	Arabidopsis_thaliana300011	SnoR106	sequence	LN809280	
snOPYdb	Arabidopsis_thaliana300012	SnoR107	sequence	LN809281	
snOPYdb	Arabidopsis_thaliana300013	SnoR108	sequence	LN809282	
snOPYdb	Arabidopsis_thaliana300014	SnoR109	sequence	LN809283	
snOPYdb	Arabidopsis_thaliana300015	SnoR11	sequence	LN809285	
snOPYdb	Arabidopsis_thaliana300016	SnoR110	sequence	LN809286	
snOPYdb	Arabidopsis_thaliana300017	SnoR111	sequence	LN809287	
snOPYdb	Arabidopsis_thaliana300018	SnoR112	sequence	LN809288	
snOPYdb	Arabidopsis_thaliana300019	SnoR12-1a	sequence	LN809289	
snOPYdb	Arabidopsis_thaliana300020	SnoR12-2	sequence	LN809291	
snOPYdb	Arabidopsis_thaliana300021	SnoR12-1b	sequence	LN809290	
snOPYdb	Arabidopsis_thaliana300022	SnoR13-1	sequence	LN809292	
snOPYdb	Arabidopsis_thaliana300023	SnoR13-2	sequence	LN809293	
snOPYdb	Arabidopsis_thaliana300024	SnoR14-1	sequence	LN809294	
snOPYdb	Arabidopsis_thaliana300025	SnoR14-2	sequence	LN809295	
snOPYdb	Arabidopsis_thaliana300026	SnoR15	sequence	LN809296	
snOPYdb	Arabidopsis_thaliana300027	SnoR16-1	sequence	LN809297	
snOPYdb	Arabidopsis_thaliana300028	SnoR16-2	sequence	LN809298	
snOPYdb	Arabidopsis_thaliana300029	SnoR17	sequence	LN809299	
snOPYdb	Arabidopsis_thaliana300030	SnoR18a	sequence	LN809300	
snOPYdb	Arabidopsis_thaliana300031	SnoR18b	sequence	LN809301	
snOPYdb	Arabidopsis_thaliana300032	SnoR19-1	sequence	LN809302	
snOPYdb	Arabidopsis_thaliana300033	SnoR19-2	sequence	LN809303	
snOPYdb	Arabidopsis_thaliana300034	SnoR20-1	sequence	LN809306	
snOPYdb	Arabidopsis_thaliana300035	SnoR20-2	sequence	LN809307	
snOPYdb	Arabidopsis_thaliana300036	SnoR21b	sequence	LN809309	
snOPYdb	Arabidopsis_thaliana300037	SnoR21a	sequence	LN809308	
snOPYdb	Arabidopsis_thaliana300039	SnoR22-3b	sequence	LN809312	
snOPYdb	Arabidopsis_thaliana300040	SnoR22-3a	sequence	LN809311	
snOPYdb	Arabidopsis_thaliana300041	SnoR22-2	sequence	LN809310	
snOPYdb	Arabidopsis_thaliana300042	SnoR23-2	sequence	LN809314	
snOPYdb	Arabidopsis_thaliana300043	SnoR23-3	sequence	LN809315	
snOPYdb	Arabidopsis_thaliana300044	SnoR23-1	sequence	LN809313	
snOPYdb	Arabidopsis_thaliana300045	SnoR24c	sequence	LN809319	
snOPYdb	Arabidopsis_thaliana300046	SnoR24a	sequence	LN809317	
snOPYdb	Arabidopsis_thaliana300047	SnoR24b	sequence	LN809318	
snOPYdb	Arabidopsis_thaliana300048	SnoR24d	sequence	LN809320	
