URSid	GeneCardsSymbol
URS000080E0B0_9606	1A9N_Q-017
URS000081169A_9606	4WKR_C
URS00008FED27_9606	5EW4_A-024
URS00008FED27_9606	5EW4_A-025
URS00008FED27_9606	5EW4_A-054
URS000036142B_9606	5KI6_B
URS0000A76376_9606	5KI6_B
URS0000B21DD0_9606	5MWI_A-003
URS0000B21DD0_9606	5MWI_A-027
URS0000B21DD0_9606	5MWI_A-019
URS0000B21DD0_9606	5MWI_A-032
URS0000B21DD0_9606	5MWI_A-050
URS0000B21DD0_9606	5MWI_A-063
URS0000B21DD0_9606	5MWI_A-106
URS0000B21DD0_9606	5MWI_A-083
URS0000B21DD0_9606	5MWI_A-134
URS0000B21DD0_9606	5MWI_A-141
URS0000B21DD0_9606	5MWI_A-143
URS0000B21DD0_9606	5MWI_A-195
URS0000B21DD0_9606	5MWI_A-161
URS0000B21DD0_9606	5MWI_A-153
URS000042D57E_9606	AB095269
URS00002B094D_9606	AB330774-003
URS00000711F0_9606	AB330774-003
URS00005CB969_9606	AB330785-001
URS0000106E49_9606	AB330789-006
URS0000106E49_9606	AB330789-032
URS0000106E49_9606	AB330789-023
URS000014617E_9606	AB372589-002
URS0000034CE9_9606	AB372598-004
URS000024DA9C_9606	AB372631-002
URS000019E103_9606	AB372630-003
URS000046F011_9606	AB372643-003
URS0000233572_9606	AB372627-003
URS000046F011_9606	AB372643-010
URS000046F011_9606	AB372643-005
URS000019683B_9606	AB372653-002
URS000046F011_9606	AB372643-012
URS000051DDC8_9606	AB372670-016
URS00003ED72C_9606	AB372660-002
URS00000ABAE4_9606	AB372689-002
URS000061C686_9606	AB372699-002
URS0000600A4D_9606	AB372738
URS0000370FDE_9606	AB372745
URS0000169307_9606	AB372778-021
URS000000D987_9606	AB372729
URS0000169307_9606	AB372778-016
URS0000169307_9606	AB372778-023
URS00003884EA_9606	AB372749-003
URS0000283862_9606	AB372777-016
URS00001AEF2D_9606	AB372799
URS0000283862_9606	AB372777-017
URS00005B372B_9606	AB372783
URS0000169307_9606	AB372778-012
URS00007F47DA_9606	AB905429
URS000014D914_9606	ABHD15-AS1
URS00009BF188_9606	ABHD11-AS1
URS000075D729_9606	ABHD11-AS1
URS0000D57275_9606	ABHD11-AS1
URS0000D5DFA4_9606	ABHD11-AS1
URS000023AD70_9606	ABHD11-AS1
URS00009C2A0D_9606	ABHD11-AS1
URS0000E929F0_9606	ABHD11-AS1
URS0000EF4B1E_9606	ABL2
URS0000D6E2E3_9606	ABL2
URS00003AF995_9606	AC003959
URS0000500EA3_9606	AC004932-002
URS00001C4031_9606	AC005060
URS000031A557_9606	AC005996
URS0000152525_9606	AC006323
URS00004482BF_9606	AC090426-001
URS00003D1FB8_9606	AC092610
URS000019E19C_9606	AC097646-002
URS00008E3A2B_9606	ADGRD1-AS1
URS00008E39B2_9606	ADGRD1-AS1
URS00005F1AAA_9606	ADGRD1-AS1
URS00001DED7E_9606	ADGRD1-AS1
URS0000EA7CBC_9606	ADGRD1-AS1
URS00009BA655_9606	ADGRD1-AS1
URS0000EEEE75_9606	ADGRL4
URS0000EF5BB8_9606	ADGRL4
URS0000EF3D48_9606	ADGRL4
URS0000EF69F1_9606	ADGRL4
URS00008B4C32_9606	ADGRL4
URS00001DC0B0_9606	ADIPOQ-AS1
URS00009BF5F8_9606	ADIPOQ-AS1
URS00009B570B_9606	ADIPOQ-AS1
URS0000D5C6E3_9606	ADIPOQ-AS1
URS0000EF5788_9606	ADSS1
URS00003ACFFF_9606	AF047386
URS000000B23E_9606	AF047386
URS0000250412_9606	AF250841-013
URS0000374AA0_9606	AF288738
URS0000031672_9606	AF346985-002
URS000076F84E_9606	AF346985-002
URS00009E0C39_9606	AF346985-002
URS000043089F_9606	AF346985-002
URS0000DC0DFE_9606	AF346985-002
URS0000246190_9606	AF346985-002
URS00001EE9F1_9606	1A9N_Q-015
