rfam_acc	db_id	comment	db_link	other_params	type
RF00001	URL		http://rose.man.poznan.pl/5SData/		Gene; rRNA;
RF00001	SO		0000652	rRNA_5S	Gene; rRNA;
RF00001	GO		0003735	structural constituent of ribosome	Gene; rRNA;
RF00001	GO		0005840	ribosome	Gene; rRNA;
RF00002	URL		http://rrna.uia.ac.be/lsu/index.html		Gene; rRNA;
RF00002	SO		0000375	rRNA_5_8S	Gene; rRNA;
RF00002	GO		0003735	structural constituent of ribosome	Gene; rRNA;
RF00002	GO		0005840	ribosome	Gene; rRNA;
RF00003	SO		0000391	U1_snRNA	Gene; snRNA; splicing;
RF00003	GO		0030627	pre-mRNA 5'-splice site binding	Gene; snRNA; splicing;
RF00003	GO		0005685	U1 snRNP	Gene; snRNA; splicing;
RF00003	GO		0000395	mRNA 5'-splice site recognition	Gene; snRNA; splicing;
RF00004	SO		0000392	U2_snRNA	Gene; snRNA; splicing;
RF00004	GO		0045131	pre-mRNA branch point binding	Gene; snRNA; splicing;
RF00004	GO		0005686	U2 snRNP	Gene; snRNA; splicing;
RF00004	GO		0000348	mRNA branch site recognition	Gene; snRNA; splicing;
RF00005	SO		0000253	tRNA	Gene; tRNA;
RF00005	GO		0030533	triplet codon-amino acid adaptor activity	Gene; tRNA;
RF00006	URL		http://vaults.arc.ucla.edu/sci/sci_home.htm		Gene;
RF00006	SO		0000404	vault_RNA	Gene;
RF00007	SO		0000399	U12_snRNA	Gene; snRNA; splicing;
RF00007	GO		0045131	pre-mRNA branch point binding	Gene; snRNA; splicing;
RF00007	GO		0005693	U12 snRNP	Gene; snRNA; splicing;
RF00007	GO		0000348	mRNA branch site recognition	Gene; snRNA; splicing;
RF00008	SO		0000380	hammerhead_ribozyme	Gene; ribozyme;
RF00009	URL		http://jwbrown.mbio.ncsu.edu/RNaseP/home.html		Gene; ribozyme;
RF00009	SO		0000386	RNase_P_RNA	Gene; ribozyme;
RF00009	GO		0008033	tRNA processing	Gene; ribozyme;
RF00009	GO		0004526	ribonuclease P activity	Gene; ribozyme;
RF00009	GO		0030677	ribonuclease P complex	Gene; ribozyme;
RF00010	URL		http://jwbrown.mbio.ncsu.edu/RNaseP/home.html		Gene; ribozyme;
RF00010	SO		0000386	RNase_P_RNA	Gene; ribozyme;
RF00010	GO		0008033	tRNA processing	Gene; ribozyme;
RF00010	GO		0004526	ribonuclease P activity	Gene; ribozyme;
RF00010	GO		0030680	dimeric ribonuclease P complex	Gene; ribozyme;
RF00011	URL		http://jwbrown.mbio.ncsu.edu/RNaseP/home.html		Gene; ribozyme;
RF00011	SO		0000386	RNase_P_RNA	Gene; ribozyme;
RF00011	GO		0008033	tRNA processing	Gene; ribozyme;
RF00011	GO		0004526	ribonuclease P activity	Gene; ribozyme;
RF00011	GO		0030680	dimeric ribonuclease P complex	Gene; ribozyme;
RF00012	SO		0001179	U3_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00012	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
RF00012	GO		0005730	nucleolus	Gene; snRNA; snoRNA; CD-box;
RF00012	snoopy		Mus_musculus300259		Gene; snRNA; snoRNA; CD-box;
RF00012	snoopy		Homo_sapiens300287		Gene; snRNA; snoRNA; CD-box;
RF00013	SO		0000376	RNA_6S	Gene;
RF00014	SO		0000378	DsrA_RNA	Gene; sRNA;
RF00015	SO		0000393	U4_snRNA	Gene; snRNA; splicing;
RF00015	GO		0000353	formation of quadruple SL/U4/U5/U6 snRNP	Gene; snRNA; splicing;
RF00015	GO		0017070	U6 snRNA binding	Gene; snRNA; splicing;
RF00015	GO		0005687	U4 snRNP	Gene; snRNA; splicing;
RF00015	GO		0046540	U4/U6 x U5 tri-snRNP complex	Gene; snRNA; splicing;
RF00015	GO		0000244	spliceosomal tri-snRNP complex assembly	Gene; snRNA; splicing;
RF00016	SO		0000593	C_D_box_snoRNA	Gene; snRNA; snoRNA; CD-box;
RF00016	GO		0006396	RNA processing	Gene; snRNA; snoRNA; CD-box;
