HG518794	Phyto_capsi_IMI352
HG518795	Sapro_ferax_36051
HG518796	Sapro_ferax_36051
HG518797	Herba_serop_SmR1.2
HG518798	Accum_phosp_UW1
HG518799	Accum_phosp_UW1
HG518800	Accum_phosp_UW1
HG518801	Accum_phosp_UW1
HG518802	Recli_ameri_50394
HG518803	Carso_ruddi_HteHT
HG518804	Carso_ruddi_HcuHC
HG518805	Thaue_sp_MZ1T
HG518806	Thaue_sp_MZ1T
HG518807	Thaue_sp_MZ1T
HG518808	Aroma_aroma_EbN1
HG518809	Dechl_aroma_RCB
HG518810	Dechl_suill_PS
HG518811	Dechl_suill_PS
HG518812	Andal_godoy_PRA185
HG518813	Secul_ecuad_50688
HG518814	Taylo_asini_MCE3
HG518815	Parvu_bermu_HTCC25
HG518816	Taylo_equig_MCE9
HG518817	Taylo_equig_MCE9
HG518818	Gluco_oxyda_621H
HG518819	Gluco_oxyda_621H
HG518820	Rhodo_palus_BisB18.1
HG518821	Psvib_sp_JE062
HG518822	Psvib_sp_JE062
HG518823	Psvib_sp_JE062
HG518824	Liber_solan_CLsoZC
HG518825	Xanth_autot_Py2
HG518826	Methy_silve_BL2
HG518827	Beije_indic_9039
HG518828	Parvi_lavam_DS1
HG518829	Brevu_subvi_15264
HG518830	Gluco_xylin_NBR328
HG518831	Gluco_diazo_PAl5
HG518832	Gluco_diazo_PAl5
HG518833	Pelag_halot_B2
HG518834	Methy_sp_446
HG518835	Methy_sp_446
HG518836	Methy_sp_446
HG518837	Methy_nodul_ORS206
HG518838	Stark_novel_506
HG518839	Azorh_cauli_ORS571
HG518840	Methy_sp_SC2
HG518841	Novos_sp_PP1Y
HG518842	Novos_sp_PP1Y
HG518843	Polym_gilvu_SL003B
HG518844	Brady_sp_ORS278
HG518845	Brady_sp_BTAi1
HG518846	Rhodo_rubru_11170
HG518847	Rhodo_rubru_11170
HG518848	Rhizo_etli_CFN42
HG518849	Rhizo_etli_CIA652
HG518850	Rhizo_etli_CIA652
HG518851	Rhizo_legum_WSM230
HG518852	Rhizo_legum_WSM132
HG518853	Rhizo_legum_WSM132
HG518854	Rhizo_legum_3841
HG518855	Rhizo_legum_3841
HG518856	Magne_magne_MS1
HG518857	Magne_magne_AMB1
HG518858	Agrob_sp_H133
HG518859	Agrob_sp_H133
HG518860	Agrob_fabru_C58
HG518861	Agrob_fabru_C58
HG518862	Agrob_tumef_NTL4
HG518863	Micav_aerug_ARL13
HG518864	Sphin_elode_31461
HG518865	Sphin_witti_RW1
HG518866	Sphin_witti_RW1
HG518867	Sphin_witti_RW1
HG518868	Sphin_chlor_L1
HG518869	Sphin_japon_UT26S
HG518870	Methy_extor_PA1
HG518871	Methy_extor_PA1
HG518872	Methy_extor_PA1
HG518873	Methy_extor_PA1
HG518874	uncul_bacte_MmaMS1
HG518875	Methy_popul_BJ001
HG518876	Tistr_mobil_KA0810
HG518877	Methy_extor_CM4
HG518878	Methy_radio_JCM283.1
HG518879	Agrob_radio_K84
HG518880	Rhodo_photo_122
HG518881	Agrob_vitis_S4
HG518882	Sphin_sp_SYK6
HG518883	Novos_aroma_12444
HG518884	Rhodo_palus_BisA53
HG518885	Nitro_hambu_X14
HG518886	Brady_japon_USD6
HG518887	Brady_japon_USD6
HG518888	Brady_japon_USD6
HG518889	Brady_sp_S23321
HG518890	Brady_japon
HG518891	Brady_japon
HG518892	Brady_japon
HG518893	Nitro_winog_Nb255
HG518894	Oligo_carbo_OM5
HG518895	Oligo_carbo_OM5
HG518896	Oligo_carbo_OM5
HG518897	Sinor_melil_2011
HG518898	Sinor_melil_2011
HG518899	Sinor_melil_2011
HG518900	Sinor_melil_2011
HG518901	Sinor_melil_2011
HG518902	Sinor_melil_2011
HG518903	Sinor_melil_2011
HG518904	Sinor_melil_2011
HG518905	Sinor_melil_2011
HG518906	Sinor_melil_2011
HG518907	Sinor_melil_2011
HG518908	Sinor_melil_2011
HG518909	Sinor_melil_2011
HG518910	Sinor_melil_2011
HG518911	Sinor_melil_2011
HG518912	Sinor_melil_2011
HG518913	Sinor_melil_2011
HG518914	Sinor_melil_2011
HG518915	Sinor_melil_2011
HG518916	Sinor_melil_2011
HG518917	Sinor_melil_2011
HG518918	Sinor_melil_2011
HG518919	Sinor_melil_2011
HG518920	Sinor_melil_2011
HG518921	Sinor_medic_WSM419
HG518922	Sinor_medic_WSM419
HG518923	Sinor_medic_WSM419
HG518924	Sinor_medic_WSM419
HG518925	Sinor_medic_WSM419
HG518926	Sinor_medic_WSM419
HG518927	Sinor_medic_WSM419
HG518928	Sinor_fredi_NGR234
HG518929	Sinor_fredi_NGR234
HG518930	Sinor_fredi_NGR234
HG518931	Sinor_fredi_NGR234
HG518932	Sinor_fredi_NGR234
HG518933	Sinor_fredi_NGR234
HG518934	Sinor_fredi_NGR234
HG518935	Sinor_fredi_NGR234
HG518936	Sinor_fredi_NGR234
HG518937	Sinor_fredi_USD257
HG518938	Neori_risti_Illino
HG518939	Neori_senne_Miyaya
HG518940	Methy_radio_JCM283.2
HG518941	Hodgk_cicad_Dsem
HG518942	Orien_tsuts_Ikeda
HG518943	Orien_tsuts_Boryon
HG518944	Ricke_monta_OSU859
HG518945	Ricke_ricke_Sheila
HG518946	Ricke_ricke_Sheila
HG518947	Ricke_ricke_Sheila
HG518948	Ricke_ricke_Sheila
HG518949	Ricke_ricke_Sheila
HG518950	Ricke_ricke_Sheila
HG518951	Ricke_ricke_Sheila
HG518952	Ricke_afric_ESF5
HG518953	Ricke_sibir_246
HG518954	Ricke_sibir_246
HG518955	Ricke_parke_Portsm
HG518956	Ricke_conor_Mal7
HG518957	Ricke_conor_Mal7
HG518958	Ricke_conor_Mal7
HG518959	Ricke_conor_CMFEe8
HG518960	Ricke_conor_CMFEe8
HG518961	Ricke_ricke_Hlp2
HG518962	Ricke_heilo_054
HG518963	Ricke_heilo_054
HG518964	Ricke_phili_364D
HG518965	Ricke_ambly_GAT30V
HG518966	Ricke_felis_WXCal2
HG518967	Ricke_peaco_Rustic
HG518968	Ricke_belli_RML369
HG518969	Ricke_belli_OSU853
HG518970	Ricke_prowa_MadE
HG518971	Ricke_prowa_MadE
HG518972	Ricke_prowa_MadE
HG518973	Ricke_prowa_MadE
HG518974	Ricke_prowa_MadE
HG518975	Ricke_prowa_MadE
HG518976	Ricke_prowa_MadE
HG518977	Ricke_prowa_MadE
HG518978	Ricke_prowa_MadE
HG518979	Ricke_prowa_MadE
HG518980	Ricke_prowa_MadE
HG518981	Ricke_akari_Hartfo
HG518982	Ricke_typhi_Wilmin
HG518983	Ricke_typhi_Wilmin
HG518984	Ricke_typhi_Wilmin
HG518985	Ricke_canad_McKiel
HG518986	Ricke_canad_CA410
HG518987	Ricke_massi_AZT80
HG518988	Ricke_massi_MTU5
HG518989	Ricke_rhipi_37fema
HG518990	Ricke_austr_Cutlac
HG518991	Ricke_austr_Cutlac
HG518992	Recli_ameri_50633
HG518993	Liber_asiat_psy62
HG518994	Liber_asiat_psy62
HG518995	Midic_mitoc_IricVA
HG518996	Hypho_sp_MC1
HG518997	Barto_quint_Toulou
HG518998	Barto_quint_Toulou
HG518999	Barto_quint_RM11
HG519000	Barto_hense_Housto
HG519001	Barto_hense_Housto
HG519002	Hypho_denit_51888
HG519003	Barto_tribo_CIP105
HG519004	Barto_tribo_CIP105
HG519005	Rhodo_vanni_17100
HG519006	Punic_marin_IMCC13
HG519007	Barto_graha_as4aup
HG519008	Barto_bacil_KC583
HG519009	Barto_bacil_KC583
HG519010	Barto_bacil_KC583
HG519011	Barto_clarr_73
HG519012	Barto_clarr_73
HG519013	Lepto_bucca_C1013b
HG519014	Rubri_gelat_IL144
HG519015	Graci_tenui_liui
HG519016	Campy_curvu_52592
HG519017	Campy_conci_13826
HG519018	Campy_jejun_81116
HG519019	Campy_jejun_81116
HG519020	Campy_jejun_81116
HG519021	Campy_jejun_81116
HG519022	Campy_jejun_26997
HG519023	Campy_fetus
HG519024	Campy_fetus
HG519025	Campy_fetus
HG519026	Campy_fetus
HG519027	Campy_fetus
HG519028	Campy_fetus
HG519029	Campy_fetus
HG519030	Campy_fetus
HG519031	Campy_fetus
HG519032	Campy_fetus
HG519033	Campy_fetus
HG519034	Campy_fetus
HG519035	Campy_fetus
HG519036	Campy_fetus
HG519037	Campy_fetus
HG519038	Campy_fetus
HG519039	Campy_fetus
HG519040	Campy_fetus
HG519041	Campy_fetus
HG519042	Campy_fetus
HG519043	Campy_fetus
HG519044	Campy_fetus
HG519045	Campy_jejun_700819
HG519046	Campy_jejun_700819
HG519047	Campy_jejun_700819
HG519048	Campy_jejun_700819
HG519049	Campy_jejun_700819
HG519050	Campy_jejun_700819
HG519051	Campy_jejun_700819
HG519052	Campy_jejun_700819
HG519053	Campy_jejun_700819
HG519054	Campy_jejun_700819
HG519055	Campy_jejun_700819
HG519056	Campy_jejun_700819
HG519057	Campy_jejun_700819
HG519058	Campy_jejun_700819
HG519059	Campy_jejun_700819
HG519060	Campy_jejun_700819
HG519061	Campy_jejun_700819
HG519062	Campy_jejun_700819
HG519063	Campy_jejun_700819
HG519064	Campy_jejun_700819
HG519065	Campy_jejun_700819
HG519066	Campy_jejun_700819
HG519067	Campy_jejun_700819
HG519068	Campy_jejun_700819
HG519069	Campy_jejun_700819
HG519070	Campy_jejun_700819
HG519071	Campy_jejun_700819
HG519072	Campy_jejun_700819
HG519073	Campy_jejun_700819
HG519074	Campy_jejun_700819
HG519075	Campy_jejun_700819
HG519076	Campy_jejun_700819
HG519077	Campy_jejun_700819
HG519078	Campy_jejun_700819
HG519079	Campy_jejun_700819
HG519080	Campy_jejun_700819
HG519081	Campy_jejun_700819
HG519082	Campy_jejun_700819
HG519083	Campy_jejun_700819
HG519084	Campy_jejun_700819
HG519085	Campy_jejun_700819
HG519086	Campy_jejun_700819
HG519087	Campy_jejun_700819
HG519088	Carno_sp_174
HG519089	Vibri_chole_LMA398
HG519090	Sulfu_sp_NBC371
HG519091	Ilyob_polyt_2926
HG519092	Sebal_termi_33386
HG519093	Carso_ruddi_CeuCE
HG519094	Mycop_haemo_Illino
HG519095	Mycop_haemo_Lan1
HG519096	Mycop_haemo_Lan1
HG519097	Strep_monil_12112
HG519098	Bacil_phage_G
HG519099	Roseb_homin_A2183
HG519100	Mycob_phage_Catera
HG519101	Mycob_phage_Catera
HG519102	Mycob_phage_Catera
HG519103	Mycob_phage_Catera
HG519104	Mycob_phage_Catera
HG519105	Mycob_phage_Catera
HG519106	Mycob_phage_Catera
HG519107	Mycob_phage_Catera
HG519108	Mycob_phage_Catera
HG519109	Mycob_phage_Bxz1
HG519110	Mycob_phage_Bxz1
HG519111	Mycob_phage_Spud
HG519112	Mycob_phage_Spud
HG519113	Mycob_phage_Spud
HG519114	Mycob_phage_Spud
HG519115	Mycob_phage_Spud
HG519116	Mycob_phage_Spud
HG519117	Mycob_phage_Spud
HG519118	Edwar_tarda_EIB202
HG519119	Edwar_tarda_EIB202
HG519120	Edwar_tarda_EIB202
HG519121	Edwar_tarda_EIB202
HG519122	Edwar_tarda_EIB202
HG519123	Edwar_tarda_FL660
HG519124	Meiot_silva_9946
HG519125	Eubac_elige_27750
HG519126	Eubac_recta_33656
HG519127	Eubac_recta_33656
HG519128	Eubac_recta_33656
HG519129	Bacte_salan_18170
HG519130	Bacte_helco_P361
HG519131	Azoba_pseud_CFP2
HG519132	Prevo_inter_17
HG519133	Prevo_inter_17
HG519134	Prevo_denti_F0289
HG519135	Prevo_melan_25845
HG519136	Lepto_inter_Lai566
HG519137	Lepto_inter_Lai566
HG519138	Lepto_inter_Lai566
HG519139	Lepto_inter_Lai566
HG519140	Lepto_inter_Lai566
HG519141	Lepto_inter_Lai566
HG519142	Lepto_inter_Lai566
HG519143	Lepto_inter_Lai566
HG519144	Lepto_inter_Lai566
HG519145	Lepto_inter_Lai566
HG519146	Lepto_inter_Lai566
HG519147	Lepto_inter_Lai566
HG519148	Lepto_inter_Lai566
HG519149	Lepto_inter_Lai566
HG519150	Lepto_inter_Lai566
HG519151	Lepto_inter_Lai566
HG519152	Lepto_inter_Lai566
HG519153	Lepto_inter_Lai566
HG519154	Lepto_inter_Lai566
HG519155	Lepto_inter_Lai566
HG519156	Lepto_inter_Lai566
