HG780872	Carso_ruddi_HteHT
HG780873	Carso_ruddi_HcuHC
HG780874	Lepto_bucca_C1013b
HG780875	Rubri_gelat_IL144
HG780876	Graci_tenui_liui
HG780877	Campy_curvu_52592
HG780878	Campy_conci_13826
HG780879	Campy_jejun_81116
HG780880	Campy_jejun_81116
HG780881	Campy_jejun_81116
HG780882	Campy_jejun_81116
HG780883	Campy_jejun_26997
HG780884	Campy_fetus
HG780885	Campy_fetus
HG780886	Campy_fetus
HG780887	Campy_fetus
HG780888	Campy_fetus
HG780889	Campy_fetus
HG780890	Campy_fetus
HG780891	Campy_fetus
HG780892	Campy_fetus
HG780893	Campy_fetus
HG780894	Campy_fetus
HG780895	Campy_fetus
HG780896	Campy_fetus
HG780897	Campy_fetus
HG780898	Campy_fetus
HG780899	Campy_fetus
HG780900	Campy_fetus
HG780901	Campy_fetus
HG780902	Campy_fetus
HG780903	Campy_fetus
HG780904	Campy_fetus
HG780905	Campy_fetus
HG780906	Campy_jejun_700819
HG780907	Campy_jejun_700819
HG780908	Campy_jejun_700819
HG780909	Campy_jejun_700819
HG780910	Campy_jejun_700819
HG780911	Campy_jejun_700819
HG780912	Campy_jejun_700819
HG780913	Campy_jejun_700819
HG780914	Campy_jejun_700819
HG780915	Campy_jejun_700819
HG780916	Campy_jejun_700819
HG780917	Campy_jejun_700819
HG780918	Campy_jejun_700819
HG780919	Campy_jejun_700819
HG780920	Campy_jejun_700819
HG780921	Campy_jejun_700819
HG780922	Campy_jejun_700819
HG780923	Campy_jejun_700819
HG780924	Campy_jejun_700819
HG780925	Campy_jejun_700819
HG780926	Campy_jejun_700819
HG780927	Campy_jejun_700819
HG780928	Campy_jejun_700819
HG780929	Campy_jejun_700819
HG780930	Campy_jejun_700819
HG780931	Campy_jejun_700819
HG780932	Campy_jejun_700819
HG780933	Campy_jejun_700819
HG780934	Campy_jejun_700819
HG780935	Campy_jejun_700819
HG780936	Campy_jejun_700819
HG780937	Campy_jejun_700819
HG780938	Campy_jejun_700819
HG780939	Campy_jejun_700819
HG780940	Campy_jejun_700819
HG780941	Campy_jejun_700819
HG780942	Campy_jejun_700819
HG780943	Campy_jejun_700819
HG780944	Campy_jejun_700819
HG780945	Campy_jejun_700819
HG780946	Campy_jejun_700819
HG780947	Campy_jejun_700819
HG780948	Campy_jejun_700819
HG780949	Carno_sp_174
HG780950	Vibri_chole_LMA398
HG780951	Sulfu_sp_NBC371
HG780952	Ilyob_polyt_2926
HG780953	Sebal_termi_33386
HG780954	Carso_ruddi_CeuCE
HG780955	Mycop_haemo_Illino
HG780956	Mycop_haemo_Lan1
HG780957	Mycop_haemo_Lan1
HG780958	Strep_monil_12112
HG780959	Bacil_phage_G
HG780960	Roseb_homin_A2183
HG780961	Mycob_phage_Catera
HG780962	Mycob_phage_Catera
HG780963	Mycob_phage_Catera
HG780964	Mycob_phage_Catera
HG780965	Mycob_phage_Catera
HG780966	Mycob_phage_Catera
HG780967	Mycob_phage_Catera
HG780968	Mycob_phage_Catera
HG780969	Mycob_phage_Catera
HG780970	Mycob_phage_Bxz1
HG780971	Mycob_phage_Bxz1
HG780972	Mycob_phage_Spud
HG780973	Mycob_phage_Spud
HG780974	Mycob_phage_Spud
HG780975	Mycob_phage_Spud
HG780976	Mycob_phage_Spud
HG780977	Mycob_phage_Spud
HG780978	Mycob_phage_Spud
HG780979	Edwar_tarda_EIB202
HG780980	Edwar_tarda_EIB202
HG780981	Edwar_tarda_EIB202
HG780982	Edwar_tarda_EIB202
HG780983	Edwar_tarda_EIB202
HG780984	Edwar_tarda_FL660
HG780985	Meiot_silva_9946
HG780986	Eubac_elige_27750
HG780987	Eubac_recta_33656
HG780988	Eubac_recta_33656
HG780989	Eubac_recta_33656
HG780990	Bacte_salan_18170
HG780991	Bacte_helco_P361
HG780992	Azoba_pseud_CFP2
HG780993	Prevo_inter_17
HG780994	Prevo_inter_17
HG780995	Prevo_denti_F0289
HG780996	Prevo_melan_25845
HG780997	Lepto_inter_Lai566
HG780998	Lepto_inter_Lai566
HG780999	Lepto_inter_Lai566
HG781000	Lepto_inter_Lai566
HG781001	Lepto_inter_Lai566
HG781002	Lepto_inter_Lai566
HG781003	Lepto_inter_Lai566
HG781004	Lepto_inter_Lai566
HG781005	Lepto_inter_Lai566
HG781006	Lepto_inter_Lai566
HG781007	Lepto_inter_Lai566
HG781008	Lepto_inter_Lai566
HG781009	Lepto_inter_Lai566
HG781010	Lepto_inter_Lai566
HG781011	Lepto_inter_Lai566
HG781012	Lepto_inter_Lai566
HG781013	Lepto_inter_Lai566
HG781014	Lepto_inter_Lai566
HG781015	Lepto_inter_Lai566
HG781016	Lepto_inter_Lai566
HG781017	Lepto_inter_Lai566
HG781018	Lepto_inter_Lai566
HG781019	Lepto_inter_Lai566
HG781020	Lepto_inter_Lai566
HG781021	Lepto_inter_Lai566
HG781022	Lepto_inter_Lai566
HG781023	Lepto_inter_Lai566
HG781024	Lepto_inter_Lai566
HG781025	Lepto_inter_Lai566
HG781026	Lepto_inter_Lai566
HG781027	Lepto_inter_Lai566
HG781028	Lepto_inter_Lai566
HG781029	Lepto_inter_Lai566
HG781030	Lepto_inter_Lai566
HG781031	Lepto_inter_Lai566
HG781032	Lepto_inter_Lai566
HG781033	Lepto_inter_Lai566
HG781034	Lepto_inter_Lai566
HG781035	Lepto_inter_Lai566
HG781036	Lepto_inter_Lai566
HG781037	Lepto_inter_Lai566
HG781038	Lepto_inter_Lai566
HG781039	Lepto_inter_Lai566
HG781040	Lepto_inter_Lai566
HG781041	Lepto_inter_Lai566
HG781042	Lepto_inter_Lai566
HG781043	Lepto_inter_Lai566
HG781044	Lepto_inter_Lai566
HG781045	Lepto_inter_Lai566
