HG790064	Phyto_capsi_IMI352	HG790065
HG790065	Phyto_capsi_IMI352	HG790064
HG790066	Sapro_ferax_36051	HG790067
HG790067	Sapro_ferax_36051	HG790066
HG790068	Sapro_ferax_36051	HG790069
HG790069	Sapro_ferax_36051	HG790068
HG790070	Herba_serop_SmR1.2	HG790071
HG790071	Herba_serop_SmR1.2	HG790070
HG790072	Accum_phosp_UW1	HG790073
HG790073	Accum_phosp_UW1	HG790072
HG790074	Accum_phosp_UW1	HG790075
HG790075	Accum_phosp_UW1	HG790074
HG790076	Accum_phosp_UW1	HG790077
HG790077	Accum_phosp_UW1	HG790076
HG790078	Accum_phosp_UW1	HG790079
HG790079	Accum_phosp_UW1	HG790078
HG790080	Recli_ameri_50394	HG790081
HG790081	Recli_ameri_50394	HG790080
HG790082	Thaue_sp_MZ1T	HG790083
HG790083	Thaue_sp_MZ1T	HG790082
HG790084	Thaue_sp_MZ1T	HG790085
HG790085	Thaue_sp_MZ1T	HG790084
HG790086	Thaue_sp_MZ1T	none
HG790087	Aroma_aroma_EbN1	HG790088
HG790088	Aroma_aroma_EbN1	HG790087
HG790089	Dechl_aroma_RCB	HG790090
HG790090	Dechl_aroma_RCB	HG790089
HG790091	Dechl_suill_PS	HG790092
HG790092	Dechl_suill_PS	HG790091
HG790093	Dechl_suill_PS	HG790094
HG790094	Dechl_suill_PS	HG790093
HG790095	Andal_godoy_PRA185	HG790096
HG790096	Andal_godoy_PRA185	HG790095
HG790097	Secul_ecuad_50688	HG790098
HG790098	Secul_ecuad_50688	HG790097
HG790099	Taylo_asini_MCE3	HG790100
HG790100	Taylo_asini_MCE3	HG790099
HG790101	Parvu_bermu_HTCC25	HG790102
HG790102	Parvu_bermu_HTCC25	HG790101
HG790103	Taylo_equig_MCE9	HG790104
HG790104	Taylo_equig_MCE9	HG790103
HG790105	Taylo_equig_MCE9	HG790106
HG790106	Taylo_equig_MCE9	HG790105
HG790107	Gluco_oxyda_621H	HG790108
HG790108	Gluco_oxyda_621H	HG790107
HG790109	Gluco_oxyda_621H	none
HG790110	Rhodo_palus_BisB18.1	HG790111
HG790111	Rhodo_palus_BisB18.1	HG790110
HG790112	Psvib_sp_JE062	HG790113
HG790113	Psvib_sp_JE062	HG790112
HG790114	Psvib_sp_JE062	HG790115
HG790115	Psvib_sp_JE062	HG790114
HG790116	Psvib_sp_JE062	HG790117
HG790117	Psvib_sp_JE062	HG790116
HG790118	Liber_solan_CLsoZC	HG790119
HG790119	Liber_solan_CLsoZC	HG790118
HG790120	Xanth_autot_Py2	HG790121
HG790121	Xanth_autot_Py2	HG790120
HG790122	Methy_silve_BL2	HG790123
HG790123	Methy_silve_BL2	HG790122
HG790124	Beije_indic_9039	HG790125
HG790125	Beije_indic_9039	HG790124
HG790126	Parvi_lavam_DS1	HG790127
HG790127	Parvi_lavam_DS1	HG790126
HG790128	Brevu_subvi_15264	HG790129
HG790129	Brevu_subvi_15264	HG790128
HG790130	Gluco_xylin_NBR328	HG790131
HG790131	Gluco_xylin_NBR328	HG790130
HG790132	Gluco_diazo_PAl5	HG790133
HG790133	Gluco_diazo_PAl5	HG790132
HG790134	Gluco_diazo_PAl5	HG790135
HG790135	Gluco_diazo_PAl5	HG790134
HG790136	Pelag_halot_B2	HG790137
HG790137	Pelag_halot_B2	HG790136
HG790138	Methy_sp_446	HG790139
HG790139	Methy_sp_446	HG790138
HG790140	Methy_sp_446	HG790141
HG790141	Methy_sp_446	HG790140
HG790142	Methy_sp_446	HG790143
HG790143	Methy_sp_446	HG790142
HG790144	Methy_nodul_ORS206	HG790145
HG790145	Methy_nodul_ORS206	HG790144
HG790146	Stark_novel_506	HG790147
HG790147	Stark_novel_506	HG790146
HG790148	Azorh_cauli_ORS571	HG790149
HG790149	Azorh_cauli_ORS571	HG790148
HG790150	Methy_sp_SC2	HG790151
HG790151	Methy_sp_SC2	HG790150
HG790152	Novos_sp_PP1Y	HG790153
HG790153	Novos_sp_PP1Y	HG790152
HG790154	Novos_sp_PP1Y	HG790155
HG790155	Novos_sp_PP1Y	HG790154
HG790156	Polym_gilvu_SL003B	HG790157
HG790157	Polym_gilvu_SL003B	HG790156
HG790158	Brady_sp_ORS278	HG790159
HG790159	Brady_sp_ORS278	HG790158
HG790160	Brady_sp_BTAi1	HG790161
HG790161	Brady_sp_BTAi1	HG790160
HG790162	Rhodo_rubru_11170	HG790163
