########################################
# Program: tcode
# Rundate: Wed 21 Jan 2026 16:40:58
# Commandline: tcode
#    -sequence XIST.fasta
#    -window 200
#    -outfile XIST_tcode.out
#    -plot
#    -graph png
# Report_format: table
# Report_file: XIST_tcode.out
########################################

#=======================================
#
# Sequence: URS000025784F     from: 1   to: 37027
# HitCount: 12276
#
# Fickett TESTCODE statistic
#
#=======================================

  Start     End  Strand   Score Estimation
      1     200       +   0.996 Coding    
      4     203       +   0.884 No opinion
      7     206       +   0.846 No opinion
     10     209       +   0.825 No opinion
     13     212       +   0.824 No opinion
     16     215       +   0.830 No opinion
     19     218       +   0.755 No opinion
     22     221       +   0.906 No opinion
     25     224       +   0.905 No opinion
     28     227       +   0.833 No opinion
     31     230       +   0.908 No opinion
     34     233       +   0.920 No opinion
     37     236       +   0.904 No opinion
     40     239       +   0.893 No opinion
     43     242       +   0.843 No opinion
     46     245       +   0.761 No opinion
     49     248       +   0.860 No opinion
     52     251       +   0.815 No opinion
     55     254       +   0.862 No opinion
     58     257       +   0.808 No opinion
     61     260       +   0.916 No opinion
     64     263       +   0.948 No opinion
     67     266       +   1.034 Coding    
     70     269       +   1.059 Coding    
     73     272       +   1.053 Coding    
     76     275       +   1.053 Coding    
     79     278       +   1.062 Coding    
     82     281       +   1.094 Coding    
     85     284       +   1.100 Coding    
     88     287       +   1.095 Coding    
     91     290       +   1.088 Coding    
     94     293       +   1.094 Coding    
     97     296       +   1.027 Coding    
    100     299       +   0.947 No opinion
    103     302       +   0.953 Coding    
    106     305       +   0.993 Coding    
    109     308       +   0.987 Coding    
    112     311       +   0.987 Coding    
    115     314       +   0.992 Coding    
    118     317       +   0.895 No opinion
    121     320       +   0.870 No opinion
    124     323       +   0.870 No opinion
    127     326       +   0.845 No opinion
    130     329       +   0.920 No opinion
    133     332       +   0.882 No opinion
    136     335       +   0.888 No opinion
    139     338       +   0.933 No opinion
    142     341       +   0.931 No opinion
    145     344       +   0.871 No opinion
    148     347       +   0.866 No opinion
    151     350       +   0.871 No opinion
    154     353       +   0.871 No opinion
    157     356       +   0.846 No opinion
    160     359       +   0.852 No opinion
    163     362       +   0.735 Non-coding
    166     365       +   0.670 Non-coding
    169     368       +   0.624 Non-coding
    172     371       +   0.714 Non-coding
    175     374       +   0.649 Non-coding
    178     377       +   0.602 Non-coding
    181     380       +   0.560 Non-coding
    184     383       +   0.495 Non-coding
    187     386       +   0.518 Non-coding
    190     389       +   0.567 Non-coding
    193     392       +   0.568 Non-coding
    196     395       +   0.443 Non-coding
    199     398       +   0.552 Non-coding
    202     401       +   0.584 Non-coding
    205     404       +   0.452 Non-coding
    208     407       +   0.513 Non-coding
    211     410       +   0.537 Non-coding
    214     413       +   0.564 Non-coding
    217     416       +   0.598 Non-coding
    220     419       +   0.625 Non-coding
    223     422       +   0.685 Non-coding
    226     425       +   0.708 Non-coding
    229     428       +   0.716 Non-coding
    232     431       +   0.690 Non-coding
    235     434       +   0.758 No opinion
    238     437       +   0.781 No opinion
    241     440       +   0.927 No opinion
    244     443       +   0.893 No opinion
    247     446       +   0.874 No opinion
    250     449       +   0.893 No opinion
    253     452       +   0.746 No opinion
    256     455       +   0.742 No opinion
    259     458       +   0.679 Non-coding
    262     461       +   0.622 Non-coding
    265     464       +   0.599 Non-coding
    268     467       +   0.837 No opinion
    271     470       +   0.635 Non-coding
    274     473       +   0.623 Non-coding
    277     476       +   0.632 Non-coding
    280     479       +   0.632 Non-coding
    283     482       +   0.806 No opinion
    286     485       +   0.806 No opinion
    289     488       +   0.810 No opinion
    292     491       +   0.774 No opinion
    295     494       +   0.797 No opinion
    298     497       +   0.663 Non-coding
    301     500       +   0.748 No opinion
    304     503       +   0.748 No opinion
    307     506       +   0.737 Non-coding
    310     509       +   0.737 Non-coding
    313     512       +   0.695 Non-coding
    316     515       +   0.771 No opinion
    319     518       +   0.687 Non-coding
    322     521       +   0.755 No opinion
    325     524       +   0.741 No opinion
    328     527       +   0.716 Non-coding
    331     530       +   0.746 No opinion
    334     533       +   0.746 No opinion
    337     536       +   0.647 Non-coding
    340     539       +   0.622 Non-coding
    343     542       +   0.612 Non-coding
    346     545       +   0.604 Non-coding
    349     548       +   0.636 Non-coding
    352     551       +   0.611 Non-coding
    355     554       +   0.543 Non-coding
    358     557       +   0.511 Non-coding
    361     560       +   0.627 Non-coding
    364     563       +   0.634 Non-coding
    367     566       +   0.601 Non-coding
    370     569       +   0.567 Non-coding
    373     572       +   0.609 Non-coding
    376     575       +   0.617 Non-coding
    379     578       +   0.517 Non-coding
    382     581       +   0.573 Non-coding
    385     584       +   0.427 Non-coding
    388     587       +   0.409 Non-coding
    391     590       +   0.402 Non-coding
    394     593       +   0.414 Non-coding
    397     596       +   0.390 Non-coding
    400     599       +   0.391 Non-coding
