GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	GENE_REFSEQ_STATUS	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
62073	P2rx4	purinergic receptor P2X 4	ENCODES a protein that exhibits ATP binding; copper ion binding; drug binding; INVOLVED IN neuronal action potential; protein homooligomerization; regulation of sodium ion transport; PARTICIPATES IN calcium/calcium-mediated signaling pathway; ASSOCIATED WITH Heart Failure; Epilepsy (ortholog); Epilepsy, Temporal Lobe (ortholog); FOUND IN axon; dendrite; dendritic spine; INTERACTS WITH ATP; benzo[a]pyrene; bisphenol A	12	12	12	q16	35521444	35539095	-	34807290	34824939	-	34943900	34961551	-	61682;619610;729054;729194;729354;729389;737633;1580654;1600115;1642659;1642694;1642695;1642669;1642691;1581703;1642301;6480464;6907045;8693375;8554639;8553355;13432299	11160443;12477932;12819199;14978347;15313628;15476696;16282518;16497176;16934235;17785580;19419241;24815693;7498461;8551329;8598206;8602843;8622997	10515189;10899068;10969036;11606481;12077178;12088286;12105201;12600825;12788520;12917686;15081800;15130891;15489334;15528255;15795310;15885321;15890753;15985462;16327800;16534777;16943557;16949036;16973131;17264311;17299767;17560948;17897319;17918263;17940064;17990272;18427835;18675255;18837052;18938136;19056867;19084381;19283779;19295157;19298529;19304656;19351603;19447505;19562525;19767540;19946888;20009029;20026202;20056605;20406028;20407394;20590593;21106936;21378451;21482824;21844344;21907716;22053919;22222817;22230887;22393055;22785548;23220420;23524095;23533145;23555667;23771671;24254916;24569146;24798490;24817123;24943126;24997270;25070962;25074385;25398027;25662851;25680470;26481522;26946358;27506813;27545450;9016352	29659	P51577	PROVISIONAL	AABR07036346;AAHX01072488;BC078792;CH473973;NM_031594;U32497;U47031;X87763;X91200;X93565		AAA99777;AAC52380;AAH78792;CAA61037;CAA62607;CAA63778;EDM13668;EDM13669;EDM13670;EDM13671;EDM13672;NP_113782;P51577	Rn.7176	5073316	RH137366	P2X4	ATP receptor;P2X purinoceptor 4;purinergic receptor P2X ligand-gated ion channel 4;purinergic receptor P2X, ligand-gated ion channel 4			APPROVED			protein-coding	ENSRNOG00000001300	PROVISIONAL	12	41196777	41214428	-	12	39308022	39325673	-
620332	Pafah1b2	platelet-activating factor acetylhydrolase 1b, catalytic subunit 2	ENCODES a protein that exhibits platelet-activating factor acetyltransferase activity; protein heterodimerization activity; protein homodimerization activity; INVOLVED IN brain development; positive regulation of macroautophagy (ortholog); spermatogenesis (ortholog); PARTICIPATES IN altered Reelin signaling pathway; Reelin signaling pathway; ether lipid metabolic pathway; ASSOCIATED WITH Lymphoma (ortholog); FOUND IN cytosol; cytoplasm (ortholog); fibrillar center (ortholog); INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; 2,6-dinitrotoluene; ammonium chloride	8	8	8	q22	45843851	45862380	-	48947322	48965875	-	48938556	48957109	-	619610;729515;737633;1540381;1600115;1580654;4107059;4107046;4107040;6480464;6907045;8554872;633389	10940388;11983068;12477932;15456758;17330141;9459487;9660828	12551946;15489334;19056867;22354037;23376485	64189	O35264	PROVISIONAL	AAHX01054403;AC094040;AC096909;AF016048;BC081714;CH473975;FQ212439;NM_022387;XM_006242958		AAC27974;AAH81714;EDL95390;EDL95391;EDL95392;NP_071782;O35264;XP_006243020	Rn.24751	44403;5032219;5036446;5040846;5055375;5080148;5086705	AI228182;AI747451;D8Got71;Pafah1b2;RH128517;RH141413;RH143765	MGC93124	PAF acetylhydrolase 30 kDa subunit;PAF-AH 30 kDa subunit;PAF-AH alpha 2;PAF-AH subunit beta;PAFAH subunit beta;platelet-activating factor acetylhydrolase IB subunit beta;platelet-activating factor acetylhydrolase alpha 2 subunit (PAF-AH alpha 2);platelet-activating factor acetylhydrolase, isoform 1b, alpha2 subunit;platelet-activating factor acetylhydrolase, isoform 1b, subunit 2;platelet-activating factor acetylhydrolase, isoform Ib, beta subunit;platelet-activating factor acetylhydrolase, isoform Ib, subunit 2			APPROVED			protein-coding	ENSRNOG00000057102	PROVISIONAL	8	48883712	48934692	-	8	50256969	50310043	-
9453438	LOC103693336	60S ribosomal protein L14 pseudogene		10			q22	36815934	36816590	+										103693336		MODEL	AABR07072108;AAHX01063884										PROVISIONAL			pseudo		MODEL					10	38661901	38662557	+
1561803	RGD1561803	similar to uracil DNA glycosylase		X		X	q14	33360419	33361374	-				53901833	53902563	-				501556		MODEL	AABR07037882;AAHX01110010						LOC501556				APPROVED			pseudo		MODEL	X	35196480	35197435	-	X	34855651	34856292	-
2323415	LOC100363225	hypothetical LOC100363225		19		19	q11	21703590	21753440	+				23249164	23250145	+				100363225		MODEL	AABR07043523;AABR07043524;AABR07043525;AABR07043526;AABR07043527;AABR07043528;AABR07043529;AABR07043530;AABR07043531;AABR07043532;AABR07043533;AABR07043534;AABR07043535;AABR07043536;AABR07043537;AAHX01097646;AAHX01097647;AAHX01097648;AAHX01097649;XM_008774202;XM_017601501;XM_017601502;XM_017601503;XM_017601504;XM_017601505;XM_017601506;XR_001842372;XR_001842373		XP_008772424;XP_017456990;XP_017456991;XP_017456992;XP_017456993;XP_017456994;XP_017456995				LOC501274	LOW QUALITY PROTEIN: serine/threonine-protein phosphatase PP1-beta catalytic subunit-like;similar to spermatogenesis associated glutamate (E)-rich protein 4d;uncharacterized protein LOC100363225			PROVISIONAL			protein-coding		MODEL	19	40162234	40164794	-	19	29130341	29246200	-
9171458	Nyap2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	INVOLVED IN neuron projection morphogenesis (ortholog); phosphatidylinositol 3-kinase signaling (ortholog); FOUND IN intracellular (inferred); INTERACTS WITH 2,2',4,4',5,5'-hexachlorobiphenyl (ortholog); 2,2',5,5'-tetrachlorobiphenyl (ortholog); lead(0) (ortholog)	9			q34	79873550	80149535	+							6480464		21946561	103690221	F1M3A4	MODEL	AABR07068166;AABR07068167;AAHX01061117;AAHX01061118;AAHX01061119;AAHX01061120;AAHX01061121;AAHX01061122;AAHX01061123;AAHX01061124;AAHX01061125;AAHX01061126;AAHX01061127;AAHX01061128;AAHX01061129;AAHX01061130;AAHX01061131;AAHX01061132;XM_008758062;XM_008767316;XM_017596833;XM_017596834;XM_017596835;XM_017596836;XM_017596837;XM_017596838;XM_017596839;XM_017603895;XM_017603896;XM_017603897;XM_017603898;XM_017603899;XM_017603900;XM_017603901		XP_008756284;XP_008765538;XP_017452322;XP_017452323;XP_017452324;XP_017452325;XP_017452326;XP_017452327;XP_017452328;XP_017459384;XP_017459385;XP_017459386;XP_017459387;XP_017459388;XP_017459389;XP_017459390				NEWGENE_1305560	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2			APPROVED			protein-coding	ENSRNOG00000023765	MODEL					9	86873942	87151060	+
621706	Ythdc1	YTH domain containing 1	ENCODES a protein that exhibits N6-methyladenosine-containing RNA binding; RNA binding (ortholog); INVOLVED IN mRNA splicing, via spliceosome; mRNA splice site selection (ortholog); regulation of mRNA splicing, via spliceosome (ortholog); FOUND IN nuclear body; nucleoplasm; nuclear speck (ortholog); INTERACTS WITH 2,4-dinitrotoluene; 3H-1,2-dithiole-3-thione; ammonium chloride	14	14	14	p21	20678761	20708683	-	22805107	22835283	-	22805108	22835283	-	619610;634512;634511;1580654;2316827;6480464;8554872;10047201	10564280;19282290;25389274;9473574	10973987;11118435;20167602;22658674;22681889;25242552;26318451;26876937	170956	Q9QY02	PROVISIONAL	AABR07014610;AAHX01078571;AAHX01078572;AF144731;CH473981;D78303;NM_133423;XM_006250805;XM_006250806;XM_006250808;XM_008769987;XM_008769988;XM_008769989;XM_008769990		AAD55973;BAA23885;EDL89828;EDL89829;EDL89830;NP_596914;Q9QY02;XP_006250867;XP_006250868;XP_006250870;XP_008768209;XP_008768210;XP_008768211;XP_008768212	Rn.48752	39598;5060098	BF388492;D14Rat81	Yt521	RA301-binding protein;YTH domain-containing protein 1;putative splicing factor YT521;splicing factor YT521;splicing factor YT521-B			APPROVED			protein-coding	ENSRNOG00000001996	PROVISIONAL	14	22869117	22899637	-	14	22971834	23002326	-
1311226	Cdk13	cyclin-dependent kinase 13	ENCODES a protein that exhibits cyclin binding (ortholog); protein kinase binding (ortholog); RNA polymerase II carboxy-terminal domain kinase activity (ortholog); INVOLVED IN alternative mRNA splicing, via spliceosome (ortholog); hemopoiesis (ortholog); negative regulation of stem cell differentiation (ortholog); ASSOCIATED WITH CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER (ortholog); Failure to Thrive (ortholog); Pleomorphic Xanthoastrocytoma  (ortholog); FOUND IN cyclin K-CDK13 complex (ortholog); cytosol (ortholog); Golgi apparatus (ortholog); INTERACTS WITH (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; bisphenol A; diazinon	17	17	17	q11	43336076	43426801	+	55071862	55237672	+	55146130	55235545	+	1580654;1600115;1580655;6480464;8554872		12477932;16721827;17261272;1731328;20952539;22012619;22547058;22664934;22681889	306998		VALIDATED	AABR07027930;AABR07027931;AAHX01091509;AAHX01091510;AAHX01091511;BC099163;CH474030;NM_001271295;NM_001271296		AAH99163;EDL87397;NP_001258224;NP_001258225	Rn.23420	39322;5047722;5077204;5503452	CDC2L5_3913;D17Rat74;RH132491;RH139622	Cdc2l5;LOC306998	cell division cycle 2-like 5;cell division cycle 2-like 5 (cholinesterase-related cell division controller);cell division protein kinase 13			APPROVED			protein-coding		VALIDATED	17	47889843	47979627	+	17	49833194	49922932	+
1563562	RGD1563562	similar to GTPase activating protein testicular GAP1	INVOLVED IN signal transduction (inferred)	2		2	q26	120493737	120535249	+				135456667	135506453	-	1600115			295012	D3ZH11	MODEL	AABR07010325;AABR07010326;AABR07010327;AABR07010328;AABR07010329;AABR07010330;AAHX01016555;AAHX01016556;AAHX01016557;XM_008775131;XM_017591249;XM_017591250;XM_017591251;XM_017591252;XM_017591253		XP_008773353;XP_017446738;XP_017446739;XP_017446740;XP_017446741;XP_017446742				LOC295012	uncharacterized protein RGD1563562			APPROVED			protein-coding	ENSRNOG00000042222	MODEL	2	151850427	151917025	-	2	132238755	132304243	-
1304744	Stx11	syntaxin 11	INVOLVED IN cellular response to interferon-gamma (ortholog); cytotoxic T cell degranulation (ortholog); natural killer cell degranulation (ortholog); ASSOCIATED WITH familial hemophagocytic lymphohistiocytosis 4 (ortholog); familial hemophagocytic lymphohistiocytosis 5 (ortholog); Lymphohistiocytosis, Hemophagocytic (ortholog); FOUND IN phagocytic vesicle (ortholog); INTERACTS WITH 1,3-dinitrobenzene; 2,3,7,8-tetrachlorodibenzodioxine; bisphenol A	1		1	p13	5794962	5820749	-				7683757	7685378	-	1580654;1580655;1600115;6480464;7240710;8554872		12477932;23042080;23190531	292483	A0A0G2K516;Q4KLK0	VALIDATED	AABR07000257;AAHX01001406;AAHX01001407;AAHX01001408;AAHX01001409;AAHX01001410;BC099159;CK478859;NM_001025638;XM_008758601		AAH99159;NP_001020809;XP_008756823	Rn.200930;Rn.52178			LOC102549741;LOC292483;MGC116325	syntaxin-11;uncharacterized LOC102549741			APPROVED			protein-coding	ENSRNOG00000014902	VALIDATED	1	8676470	8678091	-	1	7039160	7064870	-
