Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
tmRNA-Website	Acary_marin_MBIC11		sequence	HG525190	
tmRNA-Website	Acary_marin_MBIC11		sequence	HG787051	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790072	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790073	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790074	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790075	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790076	
tmRNA-Website	Accum_phosp_UW1		sequence	HG518801	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790078	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790079	
tmRNA-Website	Accum_phosp_UW1		sequence	HG518798	
tmRNA-Website	Accum_phosp_UW1		sequence	HG518799	
tmRNA-Website	Accum_phosp_UW1		sequence	HG518800	
tmRNA-Website	Accum_phosp_UW1		sequence	HG790077	
tmRNA-Website	Aceto_araba_5501		sequence	HG527097	
tmRNA-Website	Aceto_araba_5501		sequence	HG788958	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528600	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528601	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528602	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528603	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528604	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528605	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528606	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791578	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528598	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG528599	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791577	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791561	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791562	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791563	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791564	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791565	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791566	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791567	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791568	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791569	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791570	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791571	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791572	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791573	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791574	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791575	
tmRNA-Website	Aceto_paste_IFO328		sequence	HG791576	
tmRNA-Website	Aceto_woodi_1030		sequence	HG527014	
tmRNA-Website	Aceto_woodi_1030		sequence	HG788875	
tmRNA-Website	Achol_laidl_PG8A		sequence	HG783841	
tmRNA-Website	Achol_laidl_PG8A		sequence	HG521980	
tmRNA-Website	Achro_xylos_A8		sequence	HG783526	
tmRNA-Website	Achro_xylos_A8		sequence	HG521665	
tmRNA-Website	Acida_ferme_20731		sequence	HG782871	
tmRNA-Website	Acida_ferme_20731		sequence	HG782872	
tmRNA-Website	Acida_ferme_20731		sequence	HG521010	
tmRNA-Website	Acida_ferme_20731		sequence	HG521011	
tmRNA-Website	Acida_sp_D21		sequence	HG521016	
tmRNA-Website	Acida_sp_D21		sequence	HG521017	
tmRNA-Website	Acida_sp_D21		sequence	HG782873	
tmRNA-Website	Acida_sp_D21		sequence	HG782874	
tmRNA-Website	Acida_sp_D21		sequence	HG782875	
tmRNA-Website	Acida_sp_D21		sequence	HG782876	
tmRNA-Website	Acida_sp_D21		sequence	HG782877	
tmRNA-Website	Acida_sp_D21		sequence	HG782878	
tmRNA-Website	Acida_sp_D21		sequence	HG521012	
tmRNA-Website	Acida_sp_D21		sequence	HG521013	
tmRNA-Website	Acida_sp_D21		sequence	HG521014	
tmRNA-Website	Acida_sp_D21		sequence	HG521015	
tmRNA-Website	Acidi_caldu_51756		sequence	HG787695	
tmRNA-Website	Acidi_caldu_51756		sequence	HG525834	
tmRNA-Website	Acidi_caldu_51756		sequence	HG525833	
tmRNA-Website	Acidi_caldu_51756		sequence	HG787694	
tmRNA-Website	Acidi_crypt_JF5		sequence	HG528581	
tmRNA-Website	Acidi_crypt_JF5		sequence	HG791526	
tmRNA-Website	Acidi_crypt_JF5		sequence	HG791527	
tmRNA-Website	Acidi_crypt_JF5		sequence	HG791528	
tmRNA-Website	Acidi_crypt_JF5		sequence	HG528580	
tmRNA-Website	Acidi_crypt_JF5		sequence	HG791525	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG525436	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG787299	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG787298	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG787297	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG787296	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG787295	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG525438	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG525437	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG525435	
tmRNA-Website	Acidi_ferri_SS3		sequence	HG525434	
tmRNA-Website	Acidi_ferro_10331		sequence	HG526995	
tmRNA-Website	Acidi_ferro_10331		sequence	HG788856	
tmRNA-Website	Acidi_ferro_23270		sequence	HG525441	
tmRNA-Website	Acidi_ferro_23270		sequence	HG787302	
tmRNA-Website	Acidi_ferro_23270		sequence	HG787301	
tmRNA-Website	Acidi_ferro_23270		sequence	HG787300	
