#                                                                                              best-scoring model                                                          different domain's best-scoring model  
#                                                      --------------------------------------------------------------------------------------------------                  -------------------------------------  
#idx  target          p/f  length  #fm  fam  domain    model       strnd  #ht  tscore  bscore  s/nt   bevalue   tcov   bcov   bfrom     bto  mfrom    mto  scdiff  scd/nt  model       tscore  unexpected_features
#---  -------------  ----  ------  ---  ---  --------  ----------  -----  ---  ------  ------  ----  --------  -----  -----  ------  ------  -----  -----  ------  ------  ----------  ------  -------------------
1     URS000083FA52  FAIL    2388    1  LSU  Bacteria  BS_LSU_3D   plus     3    76.6    34.2  0.03   9.4e-11  0.287  0.166    1781    2177   1049   1407       -       -  -                -  *DuplicateRegion:(1049-1124)_hits_1_and_2(M:1049.1407,926.1124,S:1781.2177,151.352);LowScore:(0.03<0.50);LowCoverage:(0.287<0.860);MultipleHits:(3:SI[M:-76(1049..1124),S:1428(353..1780)],NH[M:235(1408..1642),S:123(2178..2300)]);
2     URS0000C3EA9A  PASS     553    1  LSU  Bacteria  HS_LSU_3D   plus     1   245.0   245.0  0.44   7.1e-75  0.808  0.808     107     553    159    580       -       -  -                -  LowScore:(0.44<0.50);LowCoverage:(0.808<0.860);
3     URS0000D409C5  FAIL      87    0  -    -         -           -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                -  *NoHits;
4     URS00008CD979  PASS    1505    1  LSU  Bacteria  MS_LSU_3D   plus     1  1118.6  1118.6  0.74         0  0.993  0.993       5    1499   1625   3117       -       -  -                -  -
5     URS00002AF18C  PASS      96    1  LSU  Bacteria  KL_LSU_3D   plus     1    44.0    44.0  0.46   6.2e-14  0.990  0.990       2      96     65    157       -       -  -                -  LowScore:(0.46<0.50);
6     URS0000EE662D  PASS    2894    1  LSU  Bacteria  SA_LSU_3D   plus     1  1511.8  1511.8  0.52         0  0.994  0.994       9    2886      5   2917       -       -  -                -  -
7     URS00002FE3B9  PASS    1018    1  LSU  Bacteria  mHS_LSU_3D  plus     1   343.8   343.8  0.34  7.1e-104  0.996  0.996       3    1016    337   1405       -       -  -                -  LowScore:(0.34<0.50);
8     URS000044349B  PASS     159    1  LSU  Bacteria  HS_LSU_3D   plus     1    80.9    80.9  0.51     2e-25  0.969  0.969       2     155      2    154       -       -  -                -  -
9     URS000032FC9D  PASS    2902    1  LSU  Bacteria  EC_LSU_3D   plus     1  2886.6  2886.6  0.99         0  1.000  1.000       2    2902      4   2904       -       -  -                -  -
10    URS0000724FE4  PASS     154    1  LSU  Bacteria  KL_LSU_3D   plus     1    70.3    70.3  0.46   7.1e-22  0.987  0.987       2     153      3    154       -       -  -                -  LowScore:(0.46<0.50);
11    URS00009DF1B3  PASS    2305    1  LSU  Bacteria  KL_LSU_3D   plus     1   856.5   856.5  0.37  6.5e-259  0.826  0.826     399    2301    786   2551       -       -  -                -  LowScore:(0.37<0.50);LowCoverage:(0.826<0.860);
12    URS00008C7538  PASS    1887    1  LSU  Bacteria  BS_LSU_3D   plus     1  1226.2  1226.2  0.65         0  0.997  0.997       2    1883   1021   2924       -       -  -                -  -
13    URS00003DE1CA  PASS    1397    1  LSU  Bacteria  mHS_LSU_3D  plus     1   507.5   507.5  0.36  2.4e-153  0.997  0.997       3    1395      2   1383       -       -  -                -  LowScore:(0.36<0.50);
14    URS000013AB68  PASS     505    1  LSU  Bacteria  KL_LSU_3D   plus     1   113.9   113.9  0.23   5.4e-35  0.319  0.319     160     320      1    161       -       -  -                -  LowScore:(0.23<0.50);LowCoverage:(0.319<0.860);
15    URS0000557C1B  PASS     517    1  LSU  Bacteria  KL_LSU_3D   plus     1   116.9   116.9  0.23   6.7e-36  0.317  0.317     152     315      1    164       -       -  -                -  LowScore:(0.23<0.50);LowCoverage:(0.317<0.860);
16    URS0000237B79  PASS     130    1  LSU  Bacteria  HS_LSU_3D   plus     1    30.0    30.0  0.23   4.3e-10  0.938  0.938       6     127     34    154       -       -  -                -  LowScore:(0.23<0.50);
17    URS0000730A48  PASS     601    1  LSU  Bacteria  KL_LSU_3D   plus     1   115.4   115.4  0.19   1.9e-35  0.278  0.278     259     425      1    169       -       -  -                -  LowScore:(0.19<0.50);LowCoverage:(0.278<0.860);
18    URS00008CB07B  PASS    2829    1  LSU  Bacteria  BS_LSU_3D   plus     1  1709.8  1709.8  0.60         0  0.998  0.998       2    2825     15   2841       -       -  -                -  -
19    URS00005F8BC8  PASS     967    1  LSU  Bacteria  mHS_LSU_3D  plus     1   404.2   404.2  0.42  4.2e-122  0.994  0.994       3     963    619   1521       -       -  -                -  LowScore:(0.42<0.50);
20    URS00009AC20F  PASS     450    1  LSU  Bacteria  HS_LSU_3D   plus     1   123.6   123.6  0.27   2.8e-38  0.476  0.476     169     382   4323   4540       -       -  -                -  LowScore:(0.27<0.50);LowCoverage:(0.476<0.860);
21    URS00005E5E33  PASS     494    1  LSU  Bacteria  mHS_LSU_3D  plus     1    68.9    68.9  0.14     9e-21  0.502  0.502     186     433   1222   1471       -       -  -                -  LowScore:(0.14<0.50);LowCoverage:(0.502<0.860);
22    URS00005A7D3F  PASS    1692    1  LSU  Bacteria  mHS_LSU_3D  plus     1   587.2   587.2  0.35    2e-177  0.946  0.946      52    1651     32   1521       -       -  -                -  LowScore:(0.35<0.50);
