# RGD-PIPELINE: ftp-file-extracts
# MODULE: genes-version-2.2.5
# GENERATED-ON: 2018/01/05
# PURPOSE: information about active Rat genes extracted from RGD database
# CONTACT: rgd.data@mcw.edu
# FORMAT: tab delimited text
# NOTES: multiple values in a single column are separated by ';'
#
### As of Apr 1, 2011 RATMAP_IDs and RHDB_IDs are discontinued.
### As of Apr 15, 2011 GENE_REFSEQ_STATUS column is provided.
### As of Jul 1, 2011 fixed generation of CURATED_REF_PUBMED_IDs and UNCURATED_PUBMED_IDs
### As of Nov 23, 2011 ver 2.1.2: no format changes (UniGene Ids are extracted from db in different way).
### As of Dec 19, 2011 ver 2.1.2.1: no format changes (fixed documentation in header to be consistent with column names).
### As of May 31, 2012 ver 2.1.2.2: no format changes (improved generation speed).
### As of July 6, 2012 ver 2.1.2.3: no format changes (added generation of file GENES_RAT_5.0).
### As of Oct 23, 2012 ver 2.1.2.4: obsoleted column 23 'UNCURATED_REF_MEDLINE_ID' - changed to '(UNUSED)'.
### As of Dec 17, 2012 ver 2.1.2.5: no format changes.
### As of Aug 19, 2013 ver 2.1.2.6: gene descriptions made consistent with gene report pages from RGD website.
### As of Oct 2, 2014 ver 2.2: genes files refactored:
###   GENES_HUMAN_B38.txt retired -- added new columns to GENES_HUMAN.txt to accommodate positions for GRCh38.
###   GENES_MOUSE_B36.txt retired -- added new columns to GENES_MOUSE.txt to accommodate positions for assembly build 36.
###   GENES_RAT_5.0.txt and GENES_RAT_6.0.txt retired -- added new columns to GENES_RAT.txt to accommodate positions for Rnor_5.0 and Rnor_6.0.
### As of Feb 15, 2017 ver 2.2.2: HPRD_IDs are discontinued for human genes.
### As of May 25, 2017 ver 2.2.5: GENE_REFSEQ_STATUS is now published in column 23 for all species
###   during transition period, for rat, mouse and human, GENE_REFSEQ_STATUS will continue to be laso published in columns 39, 41 and 42 respectively
#
#COLUMN INFORMATION:
# (First 38 columns are in common between all species)
#
#1   GENE_RGD_ID	      the RGD_ID of the gene
#2   SYMBOL             official gene symbol
#3   NAME    	          gene name
#4   GENE_DESC          gene description (if available)
#5   CHROMOSOME_CELERA  chromosome for Celera assembly
#6   CHROMOSOME_3.1 chromosome for reference assembly build 3.1
#7   CHROMOSOME_3.4 chromosome for reference assembly build 3.4
#8   FISH_BAND          fish band information
#9   START_POS_CELERA   start position for Celera assembly
#10  STOP_POS_CELERA    stop position for Celera assembly
#11  STRAND_CELERA      strand information for Celera assembly
#12  START_POS_3.1   start position for reference assembly build 3.1
#13  STOP_POS_3.1    stop position for reference assembly build 3.1
#14  STRAND_3.1      strand information for reference assembly build 3.1
#15  START_POS_3.4   start position for reference assembly build 3.4
#16  STOP_POS_3.4    stop position for reference assembly build 3.4
#17  STRAND_3.4      strand information for reference assembly build 3.4
#18  CURATED_REF_RGD_ID     RGD_ID of paper(s) used to curate gene
#19  CURATED_REF_PUBMED_ID  PUBMED_ID of paper(s) used to curate gene
#20  UNCURATED_PUBMED_ID    PUBMED ids of papers associated with the gene at NCBI but not used for curation
#21  NCBI_GENE_ID           NCBI Gene ID
#22  UNIPROT_ID             UniProtKB id(s)
#23  GENE_REFSEQ_STATUS     gene RefSeq Status (from NCBI)
#24  GENBANK_NUCLEOTIDE     GenBank Nucleotide ID(s)
#25  TIGR_ID                TIGR ID(s)
#26  GENBANK_PROTEIN        GenBank Protein ID(s)
#27  UNIGENE_ID             UniGene ID(s)
#28  SSLP_RGD_ID            RGD_ID(s) of SSLPS associated with given gene
#29  SSLP_SYMBOL            SSLP symbol
#30  OLD_SYMBOL             old symbol alias(es)
#31  OLD_NAME               old name alias(es)
#32  QTL_RGD_ID             RGD_ID(s) of QTLs associated with given gene
#33  QTL_SYMBOL             QTL symbol
#34  NOMENCLATURE_STATUS    nomenclature status
#35  SPLICE_RGD_ID          RGD_IDs for gene splices
#36  SPLICE_SYMBOL          symbol for gene 
#37  GENE_TYPE              gene type
#38  ENSEMBL_ID             Ensembl Gene ID
#39  GENE_REFSEQ_STATUS_LEGACY legacy column -- use column 23 instead -- it will be discontinued in the future
#40  CHROMOSOME_5.0         chromosome for Rnor_5.0 reference assembly
#41  START_POS_5.0          start position for Rnor_5.0 reference assembly
#42  STOP_POS_5.0           stop position for Rnor_5.0 reference assembly
#43  STRAND_5.0             strand information for Rnor_5.0 reference assembly
#44  CHROMOSOME_6.0         chromosome for Rnor_6.0 reference assembly
#45  START_POS_6.0          start position for Rnor_6.0 reference assembly
#46  STOP_POS_6.0           stop position for Rnor_6.0 reference assembly
#47  STRAND_6.0             strand information for Rnor_6.0 reference assembly
#
GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	GENE_REFSEQ_STATUS	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
5687330	Rn18s	18S ribosomal RNA	The sequences coding for ribosomal RNAs are present as rDNA repeating units distributed on the short arms of chromosomes 3, 11, and 12. A 45S rRNA which serves as the precursor for the 18S, 5.8S and 28S rRNA, is transcribed from each rDNA unit by RNA polymerase I. The number of rDNA repeating units varies between individuals and from chromosome to chromosome, although usually 30 to 40 repeats are found on each chromosome. These ribosomal repeating units are not currently annotated on the reference genome. This gene represents the portion of one rDNA repeat which encodes the 18S RNA. [provided by RefSeq, Feb 2012]				p11												16751776;3930503;6287418;6296773;6316273;6323401;6328433	100861533		VALIDATED	AABR07015078;AH001747;DQ623540;NR_046237;V01270				5506889	G47279					PROVISIONAL			rrna		VALIDATED	14	46820989	46822860	+	14	46643222	46645093	+
5687329	Rn28s	28S ribosomal RNA	The sequences coding for ribosomal RNAs are present as rDNA repeating units distributed on the short arms of chromosomes 3, 11, and 12. A 45S rRNA which serves as the precursor for the 18S, 5.8S and 28S rRNA, is transcribed from each rDNA unit by RNA polymerase I. The number of rDNA repeating units varies between individuals and from chromosome to chromosome, although usually 30 to 40 repeats are found on each chromosome. These ribosomal repeating units are not currently annotated on the reference genome. This gene represents the portion of one rDNA repeat which encodes the 28S RNA. [provided by RefSeq, Feb 2012]				p11												16751776;6287418;6316273;6323401;6328433	100861535		VALIDATED	AABR07015078;AABR07015079;AABR07015080;AABR07015081;DQ603342;DQ603343;NR_046246;V01270										PROVISIONAL			rrna		VALIDATED	14	46824862	46834539	+	14	46647095	46655563	+
5687331	Rn5-8s	5.8S ribosomal RNA	INTERACTS WITH glyphosate				p11												1252408;16751776;171258;6272219;6281138;6287418;6296773;6316273;6323401;6328433;6655692;7061495	100861534		VALIDATED	AABR07015078;DQ603317;DQ603350;DQ603763;DQ603764;DQ614176;FQ211544;FQ224513;J01881;NR_046238;V01270				5506889;7205872	G47279;ITS					PROVISIONAL			rrna	ENSRNOG00000059852	VALIDATED	14	46823932	46824087	+	14	46646165	46646320	+
3581	Rn5s	5S RNA	structural component of the ribosome				p12										1300472	9154136	3015934;8565624	24720		VALIDATED	AABR07034940;AAHX01107190;M13375;M13402;M13403;NR_033176;X83750						Rn5s2;Rn5s_mapped	Ribosomal 5s RNA;ribosomal 5S RNA (mapped)			REACTIVATED			rrna	ENSRNOG00000050259	VALIDATED	12	1490079	1490198	-	12	1510398	1510517	-
3586	Rnr3_mapped	RNA, ribosomal 3 (mapped)	structural component of the ribosome				p11										1300473	2420536	6287418;6296773;6316273;6323401;6328433	24723		VALIDATED	AABR07015078;AABR07015079;AABR07015080;AABR07015081;NR_046239;V01270						Rn45s;Rnr3	45S pre-ribosomal RNA;RNA, ribosomal 3			REACTIVATED			rrna		VALIDATED	14	46820989	46834539	+	14	46643222	46655563	+
1303072	AA926063	AA926063gene		20	20	20	p12	6560464	6571796	-	5128451	5134783	-	5128225	5140738	-			15060004	294284		VALIDATED	AAHX01099666;AAHX01099667;AC128962;BX883042;FQ220821;NR_002156			Rn.203507;Rn.95123	5041598;5057247;5058200;5074022	AA926063;BI277709;RH128949;RH137774					PROVISIONAL			ncrna	ENSRNOG00000000478	VALIDATED	20	7545086	7557599	-	20	5486474	5498987	-
1585479	Abhd11os	abhydrolase domain containing 11, opposite strand	ASSOCIATED WITH Autism Spectrum Disorder (ortholog); Pleomorphic Xanthoastrocytoma  (ortholog); INTERACTS WITH cisplatin (ortholog)	12		12	q12	23444090	23445077	+				22776252	22777239	+			8889548	686120		PREDICTED	AABR07072283;AAHX01071800;AC091752;AI059630;CB705680;CH473973;NR_026689		EDM13397;EDM13398;EDM13399	Rn.154672	5027595	AI462243	LOC681018;LOC686120;Wbscr26	hypothetical protein LOC681018;hypothetical protein LOC686120			APPROVED			ncrna		PREDICTED	12	26721460	26722447	+	12	24721190	24722177	+
1563921	Apeg3	antisense paternally expressed gene 3	INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; ammonium chloride; cisplatin	1		1	q12	64873679	64874610	-				65525188	65540155	-	6480464		15950772;24582979	619476	Q810D7	VALIDATED	AABR07002260;AAHX01003790;AB083820;CH474102;NR_130955		BAC21183;EDL83190	Rn.49740	5078998;5088038	RH140674;UniSTS:144166					PROVISIONAL			ncrna	ENSRNOG00000048353	VALIDATED					1	70234160	70235091	-
9685233	Aptr	Alu-mediated CDKN1A/p21 transcriptional regulator	INTERACTS WITH cyclosporin A (ortholog)	4			q11	9700466	9701768	-									12947022;8889548	104968332		VALIDATED	AABR07059241;AAHX01027649;BF394784;BQ200319;CF113917;NR_130137			Rn.139850;Rn.147473			LOC104968332	Alu-mediated CDKN1A/p21 transcriptional regulator-like			APPROVED			ncrna		VALIDATED					4	10747989	10749291	-
2193	Bc1	brain cytoplasmic RNA 1	INVOLVED IN regulation of translational initiation	1	17		q42	197631677	197631829	+	4140322	4325546	-				619610;69772;628491;631789;1580654	12451124;2437583;7692450	17074884;20974111	29294		PROVISIONAL	AAHX01009176;AC095937;M16113;NR_036653										APPROVED			ncrna		PROVISIONAL	1	224944745	224944897	+	1	218075359	218075511	+
10059728	Cahm	colon adenocarcinoma hypermethylated RNA	INTERACTS WITH valproic acid (ortholog)	1			q11	46165845	46167001	-							6480464		8889548	106182183		VALIDATED	AABR07001550;AAHX01003007;AW522740;AW920420;BE119097;BF288626;BF567743;NR_132441										PROVISIONAL			ncrna		VALIDATED					1	50826239	50827395	-
