Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
WormBase	WBGene00000001	Y110A7A.10	coding	CCD66201	BX284601
WormBase	WBGene00000002	F27C8.1	coding	CAA92459	BX284604
WormBase	WBGene00000003	F07C3.7	coding	CCD68934	BX284605
WormBase	WBGene00000004	F52H2.2a	coding	CCD71657	BX284606
WormBase	WBGene00000004	F52H2.2b	coding	CTQ87062	BX284606
WormBase	WBGene00000005	T13A10.10b	sequence	BX284604	
WormBase	WBGene00000005	T13A10.10a	coding	CCD72062	BX284604
WormBase	WBGene00000006	C55C2.5c	sequence	BX284601	
WormBase	WBGene00000006	C55C2.5d	sequence	BX284601	
WormBase	WBGene00000006	C55C2.5a	coding	CCD68122	BX284601
WormBase	WBGene00000006	C55C2.5b	sequence	BX284601	
WormBase	WBGene00000007	T11F9.4b	coding	CAQ35057	BX284605
WormBase	WBGene00000007	T11F9.4a	coding	CAA98529	BX284605
WormBase	WBGene00000008	F54D12.3	coding	CCD71779	BX284602
WormBase	WBGene00000009	F28F9.4	coding	CCD70188	BX284604
WormBase	WBGene00000010	Y53H1C.1a	coding	CAB55063	BX284601
WormBase	WBGene00000010	Y53H1C.1b	coding	CAI79268	BX284601
WormBase	WBGene00000012	C50F2.9	coding	CCD67777	BX284601
WormBase	WBGene00000013	C50F2.10	coding	CCD67778	BX284601
WormBase	WBGene00000014	F54B8.5	coding	CAB07627	BX284605
WormBase	WBGene00000015	Y38H6C.22	coding	CAA20999	BX284605
WormBase	WBGene00000016	T22H6.5	coding	CAA90673	BX284606
WormBase	WBGene00000017	T22H6.7	coding	CAD27609	BX284606
WormBase	WBGene00000018	M79.1b	coding	CAB60296	BX284606
WormBase	WBGene00000018	M79.1c	coding	CAB60297	BX284606
WormBase	WBGene00000018	M79.1a	coding	CAA90691	BX284606
WormBase	WBGene00000019	C24F3.5b	coding	CDG24140	BX284604
WormBase	WBGene00000019	C24F3.5a	coding	CDG24139	BX284604
WormBase	WBGene00000020	F12B6.1b	coding	CDO41153	BX284601
WormBase	WBGene00000020	F12B6.1a	coding	CCD69305	BX284601
WormBase	WBGene00000021	F55G11.9	sequence	BX284604	
WormBase	WBGene00000022	Y39D8C.1	coding	CCD70457	BX284605
WormBase	WBGene00000023	Y53C10A.9	coding	CAA22142	BX284601
WormBase	WBGene00000024	AC3.3	coding	CAA94867	BX284605
WormBase	WBGene00000025	F19G12.7	coding	CCD69737	BX284606
WormBase	WBGene00000026	F31A3.1	sequence	BX284606	
WormBase	WBGene00000027	Y5H2A.3	coding	CCD70998	BX284605
WormBase	WBGene00000028	Y105C5A.4	coding	CAB54983	BX284604
WormBase	WBGene00000029	C03A7.7	coding	CCD83355	BX284605
WormBase	WBGene00000030	C03A7.8	coding	CCD83356	BX284605
WormBase	WBGene00000031	C03A7.14	coding	CCD83360	BX284605
WormBase	WBGene00000032	R09F10.2	coding	CCD69415	BX284606
WormBase	WBGene00000033	F35A5.3	coding	CCD70479	BX284606
WormBase	WBGene00000034	T01D1.6	coding	CCD71496	BX284602
WormBase	WBGene00000035	W09B12.1	coding	CCD68912	BX284606
