seq_ID	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
URS0000ABD879_9606	URS0000ABD879_9606_ORF_2	13309	+	2	5027	5419	393	0.644	0.214251553920902	0.344950141950276
URS000226714C_9606	URS000226714C_9606_ORF_1	1559	+	2	1034	1132	99	0.8808	-0.12209764443724	0.0108677144240708
URS0000DB95A9_7955	URS0000DB95A9_7955_ORF_1	4295	+	1	1	3315	3315	1.0354	-0.269716025049968	1
