Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
PomBase	ENSRNA049622790	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049622790-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049622863	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049622863-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049622903	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049622903-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049622995	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049622995-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623050	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623050-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623137	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623137-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623168	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623168-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623217	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623217-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623300	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623300-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623374	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623374-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623420	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623420-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623502	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623502-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623547	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623547-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623590	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623590-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623658	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623658-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623745	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623745-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623820	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623820-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623849	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623849-T1	Schizosaccharomyces_pombe	sequence	CU329672	
PomBase	ENSRNA049623901	Schizosaccharomyces_pombe	sequence	CU329672	
