id	name	pretty_name	so_terms	rna_type	description	seed_count	full_count	clan_id	length
RF00001	5S_rRNA	5S ribosomal RNA	SO:0000652	Gene; rRNA;	5S ribosomal RNA (5S rRNA) is a component of the large ribosomal subunit in both prokaryotes and eukaryotes. In eukaryotes, it is synthesised by RNA polymerase III (the other eukaryotic rRNAs are cleaved from a 45S precursor synthesised by RNA polymerase I). In Xenopus oocytes, it has been shown that fingers 4-7 of the nine-zinc finger transcription factor TFIIIA can bind to the central region of 5S RNA. Thus, in addition to positively regulating 5S rRNA transcription, TFIIIA also stabilises 5S rRNA until it is required for transcription.	712	108778	CL00113	119
RF00002	5_8S_rRNA	5.8S ribosomal RNA	SO:0000375	Gene; rRNA;	5.8S ribosomal RNA (5.8S rRNA) is a component of the large subunit of the eukaryotic ribosome. It is transcribed by RNA polymerase I as part of the 45S precursor that also contains 18S and 28S rRNA. Functionally, it is thought that 5.8S rRNA may be involved in ribosome translocation [2]. It is also known to form covalent linkage to the p53 tumour suppressor protein [3]. 5.8S rRNA is also found in archaea.	61	4009	CL00112	154
RF00003	U1	U1 spliceosomal RNA	SO:0000391	Gene; snRNA; splicing;	U1 is a small nuclear RNA (snRNA) component of the spliceosome (involved in pre-mRNA splicing). Its 5' end forms complementary base pairs with the 5' splice junction, thus defining the 5' donor site of an intron. There are significant differences in sequence and secondary structure between metazoan and yeast U1 snRNAs, the latter being much longer (568 nucleotides as compared to 164 nucleotides in human). Nevertheless, secondary structure predictions suggest that all U1 snRNAs share a 'common core' consisting of helices I, II, the proximal region of III, and IV [1]. This family does not contain the larger yeast sequences.	100	11644	CL00005	166
RF00004	U2	U2 spliceosomal RNA	SO:0000392	Gene; snRNA; splicing;	U2 is a small nuclear RNA (snRNA) component of the spliceosome (involved in pre-mRNA splicing). Complementary binding between U2 snRNA (in an area lying towards the 5' end but 3' to hairpin I) and the branchpoint sequence (BPS) of the intron results the bulging out of an unpaired adenosine, on the BPS, which initiates a nucleophilic attack at the intronic 5' splice site, thus starting the first of two transesterification reactions that mediate splicing.	208	14355	CL00006	193
RF00005	tRNA	tRNA	SO:0000253	Gene; tRNA;	Transfer RNA (tRNA) molecules are approximately 80 nucleotides in length. Their secondary structure includes four short double-helical elements and three loops (D, anti-codon, and T loops). Further hydrogen bonds mediate the characteristic L-shaped molecular structure. tRNAs have two regions of fundamental functional importance: the anti-codon, which is responsible for specific mRNA codon recognition, and the 3' end, to which the tRNAs corresponding amino acid is attached (by aminoacyl-tRNA synthetases). tRNAs cope with the degeneracy of the genetic code in two manners: having more than one tRNA (with a specific anti-codon) for a particular amino acid; and 'wobble' base-pairing, i.e. permitting non-standard base-pairing at the 3rd anti-codon position.	954	1071476	CL00001	71
RF00006	Vault	Vault RNA	SO:0000404	Gene;	This family of RNAs are found as part of the enigmatic vault ribonucleoprotein complex. The complex consists of a major vault protein (MVP), two minor vault proteins (VPARP and TEP1), and several small untranslated RNA molecules. It has been suggested that the vault complex is involved in drug resistance. We have identified a putative novel vault RNA on chromosome 5 EMBL:AC005219.	73	550	NULL	101
RF00007	U12	U12 minor spliceosomal RNA	SO:0000399	Gene; snRNA; splicing;	The U12 small nuclear (snRNA), together with U4atac/U6atac, U5, and U11 snRNAs and associated proteins, forms a spliceosome that cleaves a divergent class of low-abundance pre-mRNA introns. Although the U12 sequence is very divergent from that of U2 (Rfam:RF00004), the two are functionally analogous [2]. The predicted secondary structure of U12 RNA is published (see for example, PMID:10199569), but the alternative single hairpin in the 3' end shown here seems to better match the alignment of divergent Drosophila and Arabidopsis sequences.	62	421	CL00006	155
RF00008	Hammerhead_3	Hammerhead ribozyme (type III)	SO:0000380	Gene; ribozyme;	The hammerhead ribozyme is one of the smallest catalytic RNAs. These RNAs have an endonuclease function, and most often are autocatalytic. Structurally it is composed of three base paired helices, separated by short linkers of conserved sequence. These helices are called I, II and III. We have classified hammerhead ribozymes into three types based on which helix the 5' and 3' ends of the sequence join. This family are the type III hammerheads. The conserved uridine-turn links helix I to helix II and usually has the sequence CUGA. Helix II and III are linked by a sequence CGAAA. The cleavage reaction occurs between helix III and I, and is usually a C. Hammerhead ribozymes are found in plant viroids and other small replicating satellite RNA species. Hammerhead ribozymes have been found in animals as well as plants. This family includes a couple of false matches currently these are EMBL:AC078923 and EMBL:BC050488. These animal sequences are not expected to be hammerhead ribozymes.	82	2641	CL00010	58
RF00009	RNaseP_nuc	Nuclear RNase P	SO:0000386	Gene; ribozyme;	Ribonuclease P (RNase P) is a ubiquitous endoribonuclease, found in archaea, bacteria and eukarya as well as chloroplasts and mitochondria. Its best characterised activity is the generation of mature 5'-ends of tRNAs by cleaving the 5'-leader elements of precursor-tRNAs. Cellular RNase Ps are ribonucleoproteins. RNA from bacterial RNase Ps retains its catalytic activity in the absence of the protein subunit, i.e. it is a ribozyme. Isolated eukaryotic and archaeal RNase P RNA has not been shown to retain its catalytic function, but is still essential for the catalytic activity of the holoenzyme. Although the archaeal and eukaryotic holoenzyme s have a much greater protein content than the bacterial ones, the RNA cores from all the three lineages are homologous -- helices corresponding to P1, P2, P3, P4, and P10/11 are common to all cellular RNase P RNAs. Yet, there is considerable sequence variation, particularly among the eukaryotic RNAs.	116	1049	CL00002	303
RF00010	RNaseP_bact_a	Bacterial RNase P class A	SO:0000386	Gene; ribozyme;	Ribonuclease P (RNase P) is a ubiquitous endoribonuclease, found in archaea, bacteria and eukarya as well as chloroplasts and mitochondria. Its best characterised activity is the generation of mature 5'-ends of tRNAs by cleaving the 5'-leader elements of precursor-tRNAs. Cellular RNase Ps are ribonucleoproteins. RNA from bacterial RNase Ps retains its catalytic activity in the absence of the protein subunit, i.e. it is a ribozyme. Isolated eukaryotic and archaeal RNase P RNA has not been shown to retain its catalytic function, but is still essential for the catalytic activity of the holoenzyme. Although the archaeal and eukaryotic holoenzyme s have a much greater protein content than the bacterial ones, the RNA cores from all the three lineages are homologous -- helices corresponding to P1, P2, P3, P4, and P10/11 are common to all cellular RNase P RNAs. Yet, there is considerable sequence variation, particularly among the eukaryotic RNAs. Identified in Yersinia as Ysr151/RnpB. 	458	3712	CL00002	367
