Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
WormBase	WBGene00000001	Y110A7A.10	coding	CCD66201	BX284601
WormBase	WBGene00000002	F27C8.1	coding	CAA92459	BX284604
WormBase	WBGene00000003	F07C3.7	coding	CCD68934	BX284605
WormBase	WBGene00000004	F52H2.2a	coding	CCD71657	BX284606
WormBase	WBGene00000004	F52H2.2b	coding	CTQ87062	BX284606
WormBase	WBGene00000005	T13A10.10b	sequence	BX284604	
WormBase	WBGene00000005	T13A10.10a	coding	CCD72062	BX284604
WormBase	WBGene00000006	C55C2.5d	sequence	BX284601	
WormBase	WBGene00000006	C55C2.5b	sequence	BX284601	
WormBase	WBGene00000006	C55C2.5a	coding	CCD68122	BX284601
WormBase	WBGene00000006	C55C2.5c	sequence	BX284601	
WormBase	WBGene00000007	T11F9.4b	coding	CAQ35057	BX284605
WormBase	WBGene00000007	T11F9.4a	coding	CAA98529	BX284605
WormBase	WBGene00000008	F54D12.3	coding	CCD71779	BX284602
WormBase	WBGene00000009	F28F9.4	coding	CCD70188	BX284604
WormBase	WBGene00000010	Y53H1C.1b	coding	CAI79268	BX284601
WormBase	WBGene00000010	Y53H1C.1a	coding	CAB55063	BX284601
WormBase	WBGene00000012	C50F2.9	coding	CCD67777	BX284601
WormBase	WBGene00000013	C50F2.10	coding	CCD67778	BX284601
WormBase	WBGene00000014	F54B8.5	coding	CAB07627	BX284605
WormBase	WBGene00000015	Y38H6C.22	coding	CAA20999	BX284605
WormBase	WBGene00000016	T22H6.5	coding	CAA90673	BX284606
WormBase	WBGene00000017	T22H6.7	coding	CAD27609	BX284606
WormBase	WBGene00000018	M79.1b	coding	CAB60296	BX284606
WormBase	WBGene00000018	M79.1a	coding	CAA90691	BX284606
WormBase	WBGene00000018	M79.1c	coding	CAB60297	BX284606
WormBase	WBGene00000019	C24F3.5b	coding	CDG24140	BX284604
WormBase	WBGene00000019	C24F3.5a	coding	CDG24139	BX284604
WormBase	WBGene00000020	F12B6.1b	coding	CDO41153	BX284601
WormBase	WBGene00000020	F12B6.1a	coding	CCD69305	BX284601
WormBase	WBGene00000021	F55G11.9	sequence	BX284604	
WormBase	WBGene00000022	Y39D8C.1	coding	CCD70457	BX284605
WormBase	WBGene00000023	Y53C10A.9	coding	CAA22142	BX284601
WormBase	WBGene00000024	AC3.3	coding	CAA94867	BX284605
WormBase	WBGene00000025	F19G12.7	coding	CCD69737	BX284606
WormBase	WBGene00000026	F31A3.1	sequence	BX284606	
WormBase	WBGene00000027	Y5H2A.3	coding	CCD70998	BX284605
WormBase	WBGene00000028	Y105C5A.4	coding	CAB54983	BX284604
WormBase	WBGene00000029	C03A7.7	coding	CCD83355	BX284605
WormBase	WBGene00000030	C03A7.8	coding	CCD83356	BX284605
WormBase	WBGene00000031	C03A7.14	coding	CCD83360	BX284605
WormBase	WBGene00000032	R09F10.2	coding	CCD69415	BX284606
WormBase	WBGene00000033	F35A5.3	coding	CCD70479	BX284606
WormBase	WBGene00000034	T01D1.6	coding	CCD71496	BX284602
WormBase	WBGene00000035	W09B12.1	coding	CCD68912	BX284606
WormBase	WBGene00000036	Y44E3A.2	coding	CCD73443	BX284601
WormBase	WBGene00000037	Y48B6A.8	coding	CAB54453	BX284602
WormBase	WBGene00000038	Y48B6A.7	coding	CAB54444	BX284602
WormBase	WBGene00000039	C42D8.5b	coding	CCD65567	BX284606
WormBase	WBGene00000039	C42D8.5a	coding	CCD65566	BX284606
WormBase	WBGene00000040	ZK455.1	coding	CAA91491	BX284606
WormBase	WBGene00000041	F54H12.1c	coding	CCD63456	BX284603
WormBase	WBGene00000041	F54H12.1a	coding	CCD63454	BX284603
WormBase	WBGene00000042	K11G12.2	coding	CCD70794	BX284606
WormBase	WBGene00000043	K11G12.7	coding	CCD70799	BX284606
WormBase	WBGene00000044	K03F8.2	coding	CCD63926	BX284603
WormBase	WBGene00000045	ZK973.5	coding	CCD73567	BX284601
WormBase	WBGene00000046	T09A5.3	coding	CAA85338	BX284602
WormBase	WBGene00000047	ZC504.2	coding	CAA90341	BX284606
WormBase	WBGene00000048	C40C9.2	coding	CAA94206	BX284606
WormBase	WBGene00000049	R02E12.8	coding	CCD64659	BX284606
WormBase	WBGene00000050	D2092.3	coding	CCD68494	BX284601
WormBase	WBGene00000051	R01E6.4b	coding	CTQ87081	BX284606
WormBase	WBGene00000051	R01E6.4a	coding	CAA92184	BX284606
WormBase	WBGene00000053	T05C12.2	coding	CAA91304	BX284602
WormBase	WBGene00000054	F25G6.4	coding	CCD64104	BX284605
WormBase	WBGene00000055	F25G6.3	coding	CCD64102	BX284605
WormBase	WBGene00000056	F53E10.2e	sequence	BX284605	
WormBase	WBGene00000056	F53E10.2i	coding	CUR30032	BX284605
WormBase	WBGene00000056	F53E10.2a	sequence	BX284605	
WormBase	WBGene00000056	F53E10.2d	sequence	BX284605	
WormBase	WBGene00000056	F53E10.2b	coding	CCD66099	BX284605
WormBase	WBGene00000056	F53E10.2h	coding	CUR30031	BX284605
WormBase	WBGene00000056	F53E10.2c	sequence	BX284605	
WormBase	WBGene00000056	F53E10.2f	sequence	BX284605	
WormBase	WBGene00000056	F53E10.2g	coding	CUR30030	BX284605
WormBase	WBGene00000057	F28F8.1	coding	CAB03014	BX284605
WormBase	WBGene00000058	C31H5.3a	coding	CAB07843	BX284601
WormBase	WBGene00000058	C31H5.3b	coding	CAQ76459	BX284601
WormBase	WBGene00000059	R06A4.10a	coding	CAB51466	BX284602
WormBase	WBGene00000059	R06A4.10c	coding	CAQ16152	BX284602
WormBase	WBGene00000059	R06A4.10b	coding	CAE46678	BX284602
WormBase	WBGene00000060	F27B3.2	coding	CCD63921	BX284603
WormBase	WBGene00000061	F48E3.7	coding	CCD71304	BX284606
WormBase	WBGene00000062	F59B1.9a	coding	CCD72123	BX284605
WormBase	WBGene00000062	F59B1.9b	coding	SAP35582	BX284605
WormBase	WBGene00000063	T04C12.6	coding	CAB04678	BX284605
WormBase	WBGene00000064	T04C12.5	coding	CAB04675	BX284605
WormBase	WBGene00000065	T04C12.4	coding	CAB04676	BX284605
WormBase	WBGene00000066	M03F4.2b	coding	CCD83477	BX284606
WormBase	WBGene00000066	M03F4.2a	coding	CCD83476	BX284606
WormBase	WBGene00000066	M03F4.2c	coding	CCD83478	BX284606
WormBase	WBGene00000067	T25C8.2	coding	CAB05817	BX284603
WormBase	WBGene00000068	F17C8.1	coding	CAA84795	BX284603
WormBase	WBGene00000069	C10F3.3	coding	CCD64122	BX284605
WormBase	WBGene00000070	C44F1.5	coding	CAA88853	BX284603
WormBase	WBGene00000071	T01C2.1	coding	CCD64514	BX284605
WormBase	WBGene00000072	F39C12.2e	coding	CCD70846	BX284606
WormBase	WBGene00000072	F39C12.2b	coding	CCD70843	BX284606
WormBase	WBGene00000072	F39C12.2c	coding	CCD70844	BX284606
WormBase	WBGene00000072	F39C12.2d	coding	CCD70845	BX284606
WormBase	WBGene00000072	F39C12.2a	coding	CCD70842	BX284606
WormBase	WBGene00000073	F57F5.4b	coding	CAJ85747	BX284605
WormBase	WBGene00000073	F57F5.4a	coding	CAB00100	BX284605
WormBase	WBGene00000074	C04A11.4	coding	CAB03832	BX284606
WormBase	WBGene00000075	ZK154.7	coding	CCD67563	BX284606
WormBase	WBGene00000079	H15N14.1c	coding	CAB09530	BX284601
WormBase	WBGene00000079	H15N14.1d	coding	CAD60417	BX284601
WormBase	WBGene00000079	H15N14.1f	coding	CAD60419	BX284601
WormBase	WBGene00000079	H15N14.1g	coding	CAD60420	BX284601
WormBase	WBGene00000079	H15N14.1e	coding	CAD60418	BX284601
WormBase	WBGene00000080	T20H4.4	coding	CCD73351	BX284603
WormBase	WBGene00000081	Y50D7A.7	coding	CCD73794	BX284603
WormBase	WBGene00000082	C02B4.1	coding	CAA90293	BX284606
WormBase	WBGene00000083	F08C6.1b	coding	CCD67342	BX284606
WormBase	WBGene00000083	F08C6.1c	coding	CCD67343	BX284606
WormBase	WBGene00000083	F08C6.1a	coding	CCD67341	BX284606
WormBase	WBGene00000084	D2030.10b	coding	CAD36486	BX284601
WormBase	WBGene00000084	D2030.10a	coding	CAA98122	BX284601
WormBase	WBGene00000085	T14B1.2	coding	CAA86863	BX284606
WormBase	WBGene00000086	C02H7.3b	coding	CCD62711	BX284606
WormBase	WBGene00000086	C02H7.3a	coding	CCD62710	BX284606
WormBase	WBGene00000088	F32A7.6	coding	CAB05501	BX284601
WormBase	WBGene00000089	Y87G2A.4	coding	CAB54484	BX284601
