urs,sequence_length,model_source,diagram_sequence_start,diagram_sequence_stop,diagram_bps,diagram_model_start,diagram_model_stop,model_length,model_basepair_count,diagram_overlap_count,label,prediction
URS00000003BC,843,ribovision,24,843,243,98,937,1542,507,0,1,1
URS0000001C44,256,ribovision,42,244,68,192,397,3506,993,7,0,0
URS0000003344,222,ribovision,1,221,70,117,336,1542,507,0,0,0
URS00000033AA,1460,ribovision,1,1456,374,1459,2924,2925,772,0,1,1
URS0000003A23,3133,ribovision,9,3125,889,8,3116,3120,899,15,1,1
URS0000004A8F,804,ribovision,2,547,132,873,1479,1559,373,1,0,0
URS0000004EA0,175,ribovision,64,175,13,1,112,3048,847,0,0,0
URS0000008026,82,ribovision,2,73,3,2,73,4123,1087,0,0,0
URS0000008F8F,356,ribovision,92,355,53,3,269,2922,891,3,0,0
URS0000009459,386,ribovision,5,385,120,32,414,1519,509,0,1,0
URS000000A8EC,2897,ribovision,2,2893,764,5,2923,2925,772,3,1,1
URS000000AD71,955,ribovision,7,933,196,144,1024,1559,373,2,0,0
URS000000B1E7,644,ribovision,107,644,94,32,534,1559,373,0,0,0
URS000000C3B5,159,ribovision,2,155,20,2,154,5227,1553,0,0,0
URS0000010B46,158,ribovision,2,158,26,2,158,3555,1065,0,0,0
URS0000013018,2048,ribovision,1,1672,440,1394,3041,3048,847,5,1,1
URS0000017F3A,1100,ribovision,859,1050,100,2464,2654,2922,891,0,0,0
URS00000186AB,1493,ribovision,331,1490,281,154,1302,4123,1087,16,0,1
URS000001F60E,370,ribovision,164,370,35,2,210,2921,776,0,0,0
URS0000022754,778,ribovision,138,382,83,977,1205,2925,772,0,0,0
URS00000232E6,391,ribovision,279,390,9,3,114,3120,899,0,0,0
URS0000024218,158,ribovision,2,157,26,2,157,3555,1065,0,0,0
URS0000024AB2,2893,ribovision,2,2891,855,4,2889,2911,868,4,1,1
URS000002575C,2680,ribovision,10,2665,714,344,3029,3048,847,11,1,1
URS00000270E9,152,ribovision,2,151,26,5,154,3555,1065,0,0,0
URS0000029E0C,430,ribovision,2,278,87,821,1099,1559,373,1,0,0
URS000002C14F,2919,ribovision,3,2911,875,10,2915,2922,891,14,1,1
URS000002C94B,522,ribovision,13,150,29,1903,2040,2921,776,0,0,0
URS000002D833,1050,ribovision,2,1031,242,2950,3950,4123,1087,2,0,0
URS0000030AE1,2893,ribovision,1,2893,857,1,2889,2911,868,4,1,1
URS00000311E5,738,ribovision,97,700,173,153,754,3555,1065,10,0,0
URS00000324C3,155,ribovision,2,144,32,14,156,3555,1065,0,0,0
URS0000033DB8,123,ribovision,3,121,13,4,122,4123,1087,0,0,0
URS000003655D,1562,ribovision,10,1556,368,10,1554,1559,373,4,1,1
URS00000380BB,2911,ribovision,2,2900,882,9,2914,2922,891,12,1,1
URS000003C9EA,2920,ribovision,2,2915,769,4,2924,2925,772,3,1,1
URS000003F40B,178,ribovision,1,159,34,4,161,3551,1009,0,0,0
URS00000400EE,1148,ribovision,3,1147,283,2924,4019,4123,1087,2,0,0
URS0000046FD2,183,ribovision,4,159,35,3,158,5227,1553,0,0,0
URS0000048293,163,ribovision,7,162,21,2,156,3551,1009,0,0,0
URS000004C152,760,ribovision,323,759,167,1346,1776,5227,1553,6,0,0
URS000004DD4E,2644,ribovision,2,2643,691,243,3031,3551,1009,15,1,1
URS0000053941,1558,ribovision,1,1558,373,1,1559,1559,373,4,1,1
URS0000054091,2902,ribovision,2,2902,858,4,2904,2904,860,1,1,1
URS0000057EB1,411,ribovision,298,411,9,5,118,3137,912,0,0,0
URS000005D3A1,175,ribovision,21,175,26,4,157,3555,1065,0,0,0
URS000005ED69,77,rfam,77,44,2,118,151,156,22,0,0,1
URS0000065901,84,ribovision,3,84,3,3,84,5227,1553,0,0,0
URS00000707E8,138,rfam,56,137,22,6,97,97,22,0,1,0
URS00000713DE,108,ribovision,1,107,21,39,144,3551,1009,0,0,0
URS000007637F,163,ribovision,2,162,21,1,160,3551,1009,0,0,0
URS0000078B87,899,ribovision,141,898,198,160,932,3555,1065,11,0,0
URS000008003A,229,ribovision,2,136,14,2781,2912,2922,891,0,0,0
URS00000818AC,165,ribovision,1,140,27,23,161,3551,1009,0,0,0
URS0000081A11,572,ribovision,1,572,168,597,1157,4123,1087,4,0,0
URS0000081CE5,2901,ribovision,2,2900,885,4,2918,2922,891,12,1,1
URS00000830E4,157,ribovision,4,156,20,3,154,5227,1553,0,0,0
URS0000089FB9,1456,ribovision,1,1452,372,1463,2924,2925,772,0,1,1
URS000008AB2B,156,ribovision,1,156,26,2,158,3555,1065,0,0,0
URS000008AE97,164,ribovision,4,163,21,2,160,3551,1009,0,0,0
URS000008B733,1129,ribovision,2,1128,294,2917,4037,4123,1087,8,1,1
URS00000908CD,158,ribovision,4,157,20,4,156,5227,1553,0,0,0
URS000009391B,2321,ribovision,2,2320,620,828,3068,3551,1009,3,1,1
URS0000094734,3274,ribovision,1,3273,955,199,3487,3554,1065,24,1,1
URS0000096A48,507,ribovision,201,366,19,1,166,3555,1065,0,0,0
URS00000975C3,1491,ribovision,1,1473,479,14,1474,1542,507,0,1,1
URS0000097808,166,ribovision,13,164,21,4,151,4123,1087,0,0,0
URS000009831F,153,ribovision,2,117,27,45,156,3506,993,0,0,0
URS00000A4FB9,492,ribovision,129,491,130,162,520,3555,1065,9,0,0
URS00000A7913,862,ribovision,24,860,224,1153,1974,5227,1553,6,0,0
URS00000A870E,195,ribovision,1,161,36,1,161,3554,1065,0,0,0
URS00000A8CD5,361,ribovision,155,361,35,2,210,2921,776,0,0,0
URS00000AAFE9,163,ribovision,3,159,21,2,157,3551,1009,0,0,0
URS00000B4831,1136,ribovision,8,1134,246,226,1350,1559,373,4,1,1
URS00000B4CD1,2914,ribovision,2,2908,889,4,2921,2922,891,12,1,1
URS00000B7C9D,321,ribovision,13,240,59,1247,1473,1559,373,2,0,0
URS00000B9BFE,173,ribovision,1,158,27,4,159,3551,1009,0,0,0
URS00000BAAB0,229,crw,1,223,18,424,644,784,98,0,1,0
URS00000BC788,621,ribovision,1,621,168,570,1165,4123,1087,5,0,0
URS00000C2043,175,ribovision,3,158,37,3,157,3555,1065,0,0,0
URS00000C280E,537,ribovision,3,535,110,833,1400,1559,373,1,0,0
URS00000C2830,2673,ribovision,1,2672,729,212,3031,3551,1009,11,1,1
URS00000C4E73,126,ribovision,2,106,26,2798,2902,2904,860,0,0,0
URS00000CA5F2,123,ribovision,1,123,13,1,123,4123,1087,0,0,0
URS00000CB0D8,306,ribovision,34,305,77,996,1283,4123,1087,0,0,0
URS00000CD310,2065,ribovision,1,2065,572,814,2871,3551,1009,3,1,1
URS00000D0F2F,2952,ribovision,38,2942,881,3,2908,2922,891,12,1,1
URS00000D131F,865,ribovision,49,864,156,33,778,1559,373,0,0,0
URS00000D1F83,1129,ribovision,2,1128,292,2917,4037,4123,1087,8,1,1
URS00000D2131,416,ribovision,4,415,91,496,906,4123,1087,0,0,0
URS00000D9DBA,514,ribovision,23,511,111,867,1388,1559,373,1,0,0
URS00000DAE3F,2910,ribovision,2,2903,884,8,2915,2922,891,12,1,1
URS00000DB9FD,161,ribovision,1,158,21,1,157,3551,1009,0,0,0
URS00000DCACC,504,ribovision,413,503,28,5,95,3120,899,0,0,0
URS00000E9000,2893,ribovision,3,2890,853,5,2901,2904,860,1,1,1
URS00000F4C58,385,ribovision,2,330,62,486,823,4123,1087,0,1,0
URS00000F59DE,128,ribovision,1,128,21,33,159,3551,1009,0,0,0
URS00000FBC1D,1851,ribovision,1,1851,487,178,2041,3506,993,31,1,1
URS00000FC7B1,2856,ribovision,5,2855,773,163,3099,3551,1009,14,1,1
URS00000FDA43,2054,ribovision,24,2054,417,353,2330,4123,1087,28,1,0
URS00000FE199,156,ribovision,1,156,21,4,158,3551,1009,0,0,0
URS00001015F4,1601,ribovision,35,1557,352,19,1529,1559,373,8,1,1
URS0000106218,722,ribovision,87,693,163,148,756,3555,1065,10,0,0
URS000010867E,148,ribovision,2,147,24,3,149,3506,993,0,0,0
URS0000108B0E,668,ribovision,270,431,34,2,163,3555,1065,0,0,0
URS000010C556,153,ribovision,4,152,24,4,148,3506,993,0,0,0
URS000010E9F7,3115,ribovision,1297,3053,834,1286,3062,3120,899,15,1,1
URS0000110E00,2668,ribovision,1,2667,699,212,3031,3551,1009,15,1,1
URS0000114737,1570,ribovision,2,1547,372,2,1538,1559,373,4,1,1
URS000011692C,167,ribovision,3,155,27,3,154,5227,1553,0,0,0
URS0000119C07,919,ribovision,58,900,201,1128,1975,5227,1553,9,0,0
URS0000119F98,1361,ribovision,2,1360,446,29,1389,1542,507,0,1,1
URS00001222DB,511,ribovision,510,2,16,8,516,1542,507,0,0,0
URS0000124EBF,573,ribovision,61,486,122,159,603,3555,1065,12,0,0
URS00001266B9,961,ribovision,390,959,225,786,1390,1559,373,2,1,1
URS00001293A0,165,ribovision,2,154,26,9,160,3551,1009,0,0,0
URS000012D18B,514,ribovision,2,416,104,2881,3292,3506,993,0,0,0
URS0000133446,446,ribovision,2,378,96,2110,2489,2925,772,0,0,0
URS00001358F0,1695,ribovision,38,1659,336,23,1524,1559,373,6,1,1
URS00001387E6,1372,ribovision,3,1371,442,30,1389,1542,507,0,1,1
URS000013D450,383,ribovision,2,300,61,833,1150,1559,373,1,0,0
URS0000140C76,185,ribovision,9,167,40,1,159,3555,1065,0,0,0
URS0000143E7D,582,rfam,138,548,25,1,354,354,94,2,0,1
URS000014992C,483,ribovision,131,289,41,1,159,3554,1065,0,0,0
URS000014A4DF,114,ribovision,113,3,12,2,115,3555,1065,0,0,0
URS000014AD96,102,ribovision,1,101,14,54,154,5227,1553,0,0,0
URS000014B8A5,147,ribovision,1,144,20,11,154,5227,1553,0,0,0
URS000014CE29,430,ribovision,430,2,17,821,1275,1559,373,3,0,0
URS000014E79C,156,ribovision,1,125,35,38,161,3551,1009,0,0,0
URS000014FD5F,2957,ribovision,15,2951,812,20,3039,3048,847,14,1,1
URS0000158BDF,2187,ribovision,1,2187,438,240,2355,4123,1087,34,0,0
URS00001591E2,2894,ribovision,4,2893,767,9,2911,2921,776,4,1,1
URS000015E473,2894,ribovision,2,2849,865,3,2857,2922,891,12,1,1
URS000015F37E,852,ribovision,300,837,178,1433,1988,5227,1553,10,0,0
URS000015FC72,752,ribovision,389,751,161,1420,1788,5227,1553,8,0,0
URS0000161666,889,ribovision,397,556,38,2,161,3554,1065,1,0,0
URS0000163D29,176,ribovision,1,159,31,4,163,3551,1009,0,0,0
URS00001644B4,2168,ribovision,1,2168,416,239,2318,4123,1087,30,0,0
URS000016D7A0,2914,ribovision,1,2911,766,15,2924,2925,772,3,1,1
URS000016F66C,621,ribovision,2,521,89,455,882,4123,1087,6,0,0
URS000016FE17,2654,ribovision,2,2652,769,4,2656,2904,860,4,1,1
URS0000171AD7,96,ribovision,1,95,14,60,154,5227,1553,0,0,0
URS00001752EE,1461,ribovision,1,1457,374,1458,2924,2925,772,0,1,1
URS000017C426,333,ribovision,221,332,10,2,113,2925,772,0,0,0
URS0000182A84,161,ribovision,18,130,19,1,113,4123,1087,0,0,0
URS0000182F00,776,ribovision,379,770,177,1380,1783,5227,1553,10,0,0
URS000018412C,2872,ribovision,12,2869,752,10,2914,2921,776,4,1,1
URS000018A13F,160,ribovision,1,160,21,2,160,3551,1009,0,0,0
URS000018B205,432,ribovision,328,431,14,9,111,2911,868,4,0,0
URS0000193100,635,ribovision,244,407,32,1,160,3551,1009,0,0,0
URS0000195157,339,ribovision,220,338,9,5,121,2925,772,0,0,0
URS0000195DB2,116,crw,5,113,26,7,115,118,26,0,1,0
URS0000198336,367,rfam,1,367,92,1,354,354,94,0,1,1
URS000019C576,796,ribovision,335,796,191,1342,1809,5227,1553,8,0,0
URS00001A8439,399,ribovision,32,394,98,2122,2484,2925,772,2,0,0
URS00001AA950,105,crw,1,103,26,1378,1482,1517,375,0,1,0
URS00001AD33D,162,ribovision,17,161,24,1,149,3506,993,0,0,0
URS00001B0A94,94,ribovision,3,93,20,2831,2921,2925,772,0,0,0
URS00001B23AF,790,ribovision,112,790,175,1244,1809,5227,1553,8,0,0
URS00001B517E,822,ribovision,350,786,49,1,485,3551,1009,4,0,0
URS00001B5272,3295,ribovision,1,3295,918,199,3489,3551,1009,23,1,1
URS00001B78C1,509,ribovision,17,507,102,860,1389,1559,373,3,0,0
URS00001BA17C,1460,ribovision,2,1460,332,447,1914,2925,772,0,1,1
URS00001BA42D,158,ribovision,2,156,26,2,156,3555,1065,0,0,0
URS00001BB48A,153,ribovision,4,150,24,4,146,3506,993,0,0,0
URS00001BEAA0,565,ribovision,444,565,17,8,129,3120,899,0,0,0
