Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
lncRNAdb	101	Kcnq1ot1	sequence	HG975405	
lncRNAdb	102	Khps1a	sequence	HG975406	
lncRNAdb	104	MEG3	sequence	HG975417	
lncRNAdb	107	Nkx2.2AS	sequence	HG975423	
lncRNAdb	110	PCGEM1	sequence	HG975429	
lncRNAdb	111	PRINS	sequence	HG975433	
lncRNAdb	112	PINC	sequence	HG975430	
lncRNAdb	113	RepA transcript	sequence	HG975437	
lncRNAdb	129	lincRNA-Sox2	sequence	HG975413	
lncRNAdb	130	lincRNA-Cox2	sequence	HG975410	
lncRNAdb	136	Ks-1	sequence	HG975408	
lncRNAdb	137	AncR-1	sequence	HG975380	
lncRNAdb	140	7SL	sequence	HG975378	
lncRNAdb	146	LUST	sequence	HG975415	
lncRNAdb	149	MEG9	sequence	HG975418	
lncRNAdb	150	antiPeg11	sequence	HG975382	
lncRNAdb	152	Beta-MHC antisense transcripts	sequence	HG975385	
lncRNAdb	156	Pldi	sequence	HG975432	
lncRNAdb	163	p53 mRNA	sequence	HG975427	
lncRNAdb	164	NTT	sequence	HG975426	
lncRNAdb	167	MSUR1	sequence	HG975422	
lncRNAdb	171	Hoxa11as	sequence	HG975400	
lncRNAdb	172	Emx2os	sequence	HG975393	
lncRNAdb	176	HOXA3as	sequence	HG975401	
lncRNAdb	177	HOXA6as	sequence	HG975402	
lncRNAdb	183	HULC	sequence	HG975403	
lncRNAdb	185	COOLAIR	sequence	HG975389	
lncRNAdb	187	PTENP1	sequence	HG975434	
lncRNAdb	190	7SK	sequence	HG975377	
lncRNAdb	201	DISC2	sequence	HG975390	
lncRNAdb	206	IGF2AS	sequence	HG975404	
lncRNAdb	213	meiRNA	sequence	HG975419	
lncRNAdb	214	lincRNA-p21	sequence	HG975411	
lncRNAdb	217	Pinci1 family RNAs	sequence	HG975431	
lncRNAdb	218	KRASP1	sequence	HG975407	
lncRNAdb	222	Mrhl	sequence	HG975421	
lncRNAdb	223	Beta 2.7 RNA	sequence	HG975384	
lncRNAdb	228	CAR Intergenic 10	sequence	HG975387	
lncRNAdb	232	HAR1B	sequence	HG975397	
lncRNAdb	236	PWR1	sequence	HG975436	
lncRNAdb	237	Dlx1as	sequence	HG975391	
lncRNAdb	238	npc536	sequence	HG975425	
lncRNAdb	239	npc48	sequence	HG975424	
lncRNAdb	242	lincRNA-RoR	sequence	HG975412	
lncRNAdb	255	Rmst	sequence	HG975438	
lncRNAdb	264	BX118339	sequence	HG975386	
lncRNAdb	266	Mistral	sequence	HG975420	
lncRNAdb	267	PANDA	sequence	HG975428	
lncRNAdb	272	COLDAIR	sequence	HG975388	
lncRNAdb	278	LOC100887755	sequence	HG975414	
lncRNAdb	279	linc-MD1	sequence	HG975409	
lncRNAdb	281	PTENP1 asRNAs	sequence	HG975435	
lncRNAdb	77	Air	sequence	HG975379	
lncRNAdb	79	ANRIL	sequence	HG975381	
lncRNAdb	82	BC1	sequence	HG975383	
lncRNAdb	87	EGO	sequence	HG975392	
lncRNAdb	91	Gadd7	sequence	HG975394	
lncRNAdb	92	GAS5	sequence	HG975395	
lncRNAdb	94	mascRNA	sequence	HG975416	
lncRNAdb	95	HAR1A	sequence	HG975396	
lncRNAdb	97	HOTAIR	sequence	HG975398	
lncRNAdb	98	HOTAIRM1	sequence	HG975399	
