#idx target name          accession query name           accession clan name mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc olp anyidx afrct1 afrct2 winidx wfrct1 wfrct2 description of target
#--- -------------------- --------- -------------------- --------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- --- ------ ------ ------ ------ ------ ------ ---------------------
1    mir-154              RF00641   URS0000A7785C        -         -          cm        1       81        3       82      +    no    1 0.43   0.0   66.5   3.6e-15  !   *       -      -      -      -      -      - -
1    Y_RNA                RF00019   URS0000A7785E        -         -          cm        1       98        1      102      +    no    1 0.44   0.0   56.4   9.4e-12  !   *       -      -      -      -      -      - -
1    5S_rRNA              RF00001   URS0000A77860        -         -          cm        1      119        1      119      +    no    1 0.48   0.0   73.4   3.9e-16  !   *       -      -      -      -      -      - -
1    5S_rRNA              RF00001   URS0000A77862        -         -          cm        1      119        1      119      +    no    1 0.55   0.0  107.9   4.6e-25  !   *       -      -      -      -      -      - -
1    mir-199              RF00144   URS0000A77864        -         -          cm       16       86        1       70      +    no    1 0.54   0.0   71.5   7.1e-18  !   *       -      -      -      -      -      - -
1    U6                   RF00026   URS0000A77865        -         CL00009    cm        1      104        2      100      +    no    1 0.38   0.2   46.0   9.1e-11  !   *       -      -      -      -      -      - -
1    mir-154              RF00641   URS0000A77866        -         -          cm        1       81       22      101      +    no    1 0.50   0.0   74.7   2.6e-17  !   *       -      -      -      -      -      - -
1    U3                   RF00012   URS0000A77868        -         CL00100    cm        1      218        1       81      +    no    1 0.26   0.5   37.8   7.7e-08  !   *       -      -      -      -      -      - -
1    U6                   RF00026   URS0000A7786E        -         CL00009    cm        1      104        3      107      +    no    1 0.32   0.1   63.4     9e-16  !   *       -      -      -      -      -      - -
1    Y_RNA                RF00019   URS0000A77873        -         -          cm        1       98        1      102      +    no    1 0.41   0.0   70.3   2.5e-15  !   *       -      -      -      -      -      - -
