#                                                                                                             best-scoring model                                                                              different domain's best-scoring model        
#                                                      --------------------------------------------------------------------------------------------------------------------------------                  ------------------------------------------------  
#idx  target          p/f  length  #fm  fam  domain    model                                     strnd  #ht  tscore  bscore  s/nt   bevalue   tcov   bcov   bfrom     bto  mfrom    mto  scdiff  scd/nt  model                                     tscore  unexpected_features
#---  -------------  ----  ------  ---  ---  --------  ----------------------------------------  -----  ---  ------  ------  ----  --------  -----  -----  ------  ------  -----  -----  ------  ------  ----------------------------------------  ------  -------------------
1     URS0000290E32  PASS    1405    1  SSU  Bacteria  d.16.b.P.putida                           plus     1  1389.3  1389.3  0.99         0  0.999  0.999       1    1404     51   1455       -       -  -                                              -  -
2     URS000082249B  FAIL     134    0  -    -         -                                         -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                                              -  *NoHits;
3     URS000011DC14  PASS     120    1  SSU  Bacteria  d.5.e.C.edule                             plus     1   101.5   101.5  0.85   3.4e-30  0.992  0.992       1     119      1    119       -       -  -                                              -  -
4     URS00009E0C12  FAIL    2898    0  -    -         -                                         -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                                              -  *NoHits;
5     URS00008A0F24  PASS    1375    1  SSU  Bacteria  d.16.b.Burkholderia.sp                    plus     1  1304.5  1304.5  0.95         0  0.995  0.995       6    1373     87   1452       -       -  -                                              -  -
6     URS0000DE94DB  FAIL    2901    0  -    -         -                                         -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                                              -  *NoHits;
7     URS000021367B  PASS    1340    1  SSU  Bacteria  d.16.b.C.diphtheriae                      plus     1  1247.2  1247.2  0.93         0  0.999  0.999       2    1339     29   1364       -       -  -                                              -  -
8     URS000054921E  PASS    1367    1  SSU  Bacteria  d.16.b.Frankia.sp                         plus     1  1222.9  1222.9  0.89         0  0.999  0.999       1    1366     55   1416       -       -  -                                              -  -
9     URS000052A883  PASS     933    1  SSU  Bacteria  d.16.b.E.coli.EDL.GEN                     plus     1   758.1   758.1  0.81  5.5e-229  0.998  0.998       2     932     38    959       -       -  -                                              -  -
10    URS0000532B82  PASS    1371    1  SSU  Bacteria  d.16.b.S.aureus                           plus     1  1357.8  1357.8  0.99         0  0.999  0.999       2    1370     30   1399       -       -  -                                              -  -
11    URS00008498A7  FAIL    2887    0  -    -         -                                         -        -       -       -     -         -      -      -       -       -      -      -       -       -  -                                              -  *NoHits;
12    URS000084D9BA  PASS     902    1  SSU  Bacteria  d.16.b.S.putrefaciens                     plus     1   746.7   746.7  0.83  1.5e-225  0.997  0.997       2     900    567   1461       -       -  -                                              -  -
13    URS00002C9036  PASS    1420    1  SSU  Bacteria  d.16.b.S.putrefaciens                     plus     1  1332.6  1332.6  0.94         0  0.998  0.998       2    1418     48   1462       -       -  -                                              -  -
14    URS0000538DA1  PASS    1364    1  SSU  Bacteria  d.16.b.P.Schlesner                        plus     1   801.7   801.7  0.59  3.6e-242  0.999  0.999       2    1363     86   1415       -       -  -                                              -  -
15    URS0000133FF9  PASS    1419    1  SSU  Bacteria  d.16.b.M.loti                             plus     1  1151.8  1151.8  0.81         0  0.999  0.999       2    1419     49   1465       -       -  -                                              -  -
16    URS000032B53E  PASS    1339    1  SSU  Bacteria  d.16.b.Epulopiscium.sp                    plus     1   983.2   983.2  0.73  4.4e-297  0.999  0.999       1    1338     42   1359       -       -  -                                              -  -
