URS00007E4F6E	HGNC:37133
URS00001F234A	HGNC:27057
URS00005F9A07	HGNC:41022
URS00001BFF15	HGNC:41523
URS000075D0ED	HGNC:50301
URS000075CF56	HGNC:31499
URS0000447557	HGNC:31500
URS00002C5007	HGNC:31638
URS000075CAE5	HGNC:31639
URS00004C38BB	HGNC:31640
URS000044DFF6	HGNC:7470
URS000047A7F4	HGNC:7471
URS000036D40A	HGNC:7475
URS000018E119	HGNC:7477
URS00001FC4D3	HGNC:7478
URS000034E9D0	HGNC:7479
URS00003E8921	HGNC:7481
URS000075C8FA	HGNC:10031
URS0000005270	HGNC:53517
URS0000005270	HGNC:53521
URS0000005270	HGNC:53525
URS000032B6B6	HGNC:10120
URS000032B6B6	HGNC:10123
URS000032B6B6	HGNC:10130
URS000032B6B6	HGNC:10128
URS00003EE995	HGNC:10142
URS000075C574	HGNC:10103
URS00003F1BD0	HGNC:10104
URS0000103047	HGNC:10242
URS00005CF03F	HGNC:10243
URS0000007D24	HGNC:10244
URS00004A2461	HGNC:10248
URS000013F331	HGNC:19273
URS000021BC29	HGNC:32555
URS000023DE4C	HGNC:32558
URS000075E781	HGNC:32577
URS00003848F7	HGNC:34304
URS00003848F7	HGNC:34305
URS00004E56CF	HGNC:34306
URS00005CCF67	HGNC:12654
URS0000000A8C	HGNC:12655
URS000058CD99	HGNC:12656
URS0000A76E3A	HGNC:37054
