URS_taxid	CRS_start_relative_to_URS	CRS_end_relative_to_URS	chromosome	CRS_start_relative_to_genome	CRS_end_relative_to_genome	CRS_id	CRS_fdr
URS00009BAB0C_9606	21	60	chr1	18307	18346	M1412625	24.43
URS00008C1BAF_9606	27	66	chr1	18307	18346	M1412625	24.43
URS00008C3A07_9606	17	56	chr1	18307	18346	M1412625	24.43
URS00008C0F60_9606	23	62	chr1	18307	18346	M1412625	24.43
URS00009BF201_9606	763	802	chr1	18307	18346	M1412625	24.43
URS00009BEE76_9606	906	945	chr1	18307	18346	M1412625	24.43
URS00009B3810_9606	27	66	chr1	18307	18346	M1412625	24.43
URS00009BC756_9606	21	60	chr1	18307	18346	M1412625	24.43
URS00008B5770_9606	263	310	chr1	24728	24775	M1300024	6.82
URS00008BD19F_9606	34	81	chr1	24728	24775	M1300024	6.82
URS00008C0F60_9606	19	66	chr1	24728	24775	M1300024	6.82
URS00009BAB0C_9606	117	164	chr1	24728	24775	M1300024	6.82
URS00008C3A07_9606	117	164	chr1	24728	24775	M1300024	6.82
URS00002D7B9C_9606	481	560	chr1	34615	34694	M0083111	15.94
URS0000311D9A_9606	481	560	chr1	34615	34694	M0083111	15.94
URS00008B6867_9606	481	560	chr1	34615	34694	M0083111	15.94
URS00008BEB7B_9606	481	560	chr1	34615	34694	M0083111	15.94
URS000000673B_9606	481	560	chr1	34615	34694	M0083111	15.94
URS00008B41D7_9606	481	560	chr1	34615	34694	M0083111	15.94
URS00008BD607_9606	481	560	chr1	34615	34694	M0083111	15.94
URS000008C187_9606	21	86	chr1	131185	131250	M0013750	9.71
URS00008C288E_9606	161	226	chr1	131185	131250	M0013750	9.71
URS00009AEFA4_9606	1465	1502	chr1	131373	131410	M1296413	35.44
URS00008C288E_9606	349	386	chr1	131373	131410	M1296413	35.44
URS00009AEFA4_9606	380	448	chr1	132427	132495	M1296572	13.86
URS00008C288E_9606	1403	1471	chr1	132427	132495	M1296572	13.86
URS00008C288E_9606	2871	2908	chr1	133895	133932	M1296684	12.56
URS00008C288E_9606	3644	3675	chr1	134668	134699	M0014160	35.44
URS00008B6F45_9606	-42	47	chr1	439823	439912	M1381472	17.38
URS00008B2C6A_9606	-46	43	chr1	439823	439912	M1381472	17.38
URS00008C28E0_9606	71	137	chr1	487171	487237	M1376347	18.28
URS000008C187_9606	21	87	chr1	487171	487237	M1376347	18.28
URS00008C28E0_9606	260	297	chr1	487360	487397	M0091888	35.44
URS00008C28E0_9606	1161	1242	chr1	488261	488342	M1376258	17.38
URS00008C28E0_9606	1312	1376	chr1	488412	488476	M1376238	18.86
URS00008C28E0_9606	1913	1997	chr1	489013	489097	M1376171	18.28
URS00008C28E0_9606	166	203	chr1	489882	489919	M1375931	27.76
URS000042117A_9606	-18	19	chr1	489882	489919	M1375931	27.76
URS000045DE45_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000047595F_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000455600_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00003F05AD_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00003EA65E_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00003BCE1B_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00003A9CC0_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000048F118_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000052A3A4_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000058AF3F_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00005BC760_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00005D1607_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00005E40B1_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000060F07A_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000366CD4_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000035B2D7_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00002DD8DF_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000029799C_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000268D36_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00002416BA_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00001C17EA_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00001751B9_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00000F70DA_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00000F6EEF_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00000DFAB7_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00000225B7_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00000012EC_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000000DC32_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000BA48F3_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000B8970E_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000B5BD8D_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000AD97CF_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000A6A38D_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00009E642D_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000082F8E7_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000082F6E4_9606	2	67	chr1	629434	629499	M1398162	8.27
URS00007C40CB_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000785F64_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000780DF3_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000077959F_9606	2	67	chr1	629434	629499	M1398162	8.27
URS0000772095_9606	2	67	chr1	629434	629499	M1398162	8.27
URS000076FAF1_9606	2	67	chr1	629434	629499	M1398162	8.27
