Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
TAIR	1000429427	AT5G52495	sequence	CP002688	
TAIR	1000429428	AT5G52355	sequence	CP002688	
TAIR	1000429429	AT5G48835	sequence	CP002688	
TAIR	1000429430	AT5G44705	sequence	CP002688	
TAIR	1000429432	AT5G37795	sequence	CP002688	
TAIR	1000429433	AT5G41265	sequence	CP002688	
TAIR	1000429434	AT5G53902	sequence	CP002688	
TAIR	1000429435	AT5G05985	sequence	CP002688	
TAIR	1000429436	AT5G05945	sequence	CP002688	
TAIR	1000429438	AT5G59055	sequence	CP002688	
TAIR	1000429440	AT5G06125	sequence	CP002688	
TAIR	1000429441	AT5G48675	sequence	CP002688	
TAIR	1000429442	AT5G38905	sequence	CP002688	
TAIR	1000429444	AT5G55045	sequence	CP002688	
TAIR	1000429445	AT5G55055	sequence	CP002688	
TAIR	1000429446	AT5G02815	sequence	CP002688	
TAIR	1000429447	AT5G15175	sequence	CP002688	
TAIR	1000429448	AT5G52815	sequence	CP002688	
TAIR	1000429459	AT5G59385	sequence	CP002688	
TAIR	1000429460	AT5G59395	sequence	CP002688	
TAIR	1000429461	AT5G11325	sequence	CP002688	
TAIR	1000429462	AT5G11225	sequence	CP002688	
TAIR	1000429477	AT5G20856	sequence	CP002688	
TAIR	1000429478	AT5G20858	sequence	CP002688	
TAIR	1000429480	AT5G20854	sequence	CP002688	
TAIR	1000429481	AT5G20852	sequence	CP002688	
TAIR	1000429483	AT5G14495	sequence	CP002688	
TAIR	1000429484	AT5G09655	sequence	CP002688	
TAIR	1000429485	AT5G09585	sequence	CP002688	
TAIR	1000429486	AT5G09755	sequence	CP002688	
TAIR	1000429487	AT5G03745	sequence	CP002688	
TAIR	1000429488	AT5G03705	sequence	CP002688	
TAIR	1000429489	AT5G11475	sequence	CP002688	
TAIR	1000429490	AT5G60285	sequence	CP002688	
TAIR	1000429492	AT5G15815	sequence	CP002688	
TAIR	1000429493	AT5G15805	sequence	CP002688	
TAIR	1000429495	AT5G21378	sequence	CP002688	
TAIR	1000429501	AT5G03452	sequence	CP002688	
TAIR	1000429502	AT5G03445	sequence	CP002688	
TAIR	1000429505	AT5G10525	sequence	CP002688	
TAIR	1000429506	AT5G10455	sequence	CP002688	
TAIR	1000429507	AT5G46595	sequence	CP002688	
TAIR	1000429508	AT4G13445	sequence	CP002687	
TAIR	1000429509	AT4G13265	sequence	CP002687	
TAIR	1000429510	AT4G18255	sequence	CP002687	
TAIR	1000429514	AT4G01865	sequence	CP002687	
TAIR	1000429517	AT4G17975	sequence	CP002687	
TAIR	1000429519	AT4G39865	sequence	CP002687	
TAIR	1000429520	AT4G39985	sequence	CP002687	
TAIR	1000429523	AT4G34695	sequence	CP002687	
TAIR	1000429524	AT4G12405	sequence	CP002687	
TAIR	1000429525	AT4G23915	sequence	CP002687	
TAIR	1000429526	AT4G25435	sequence	CP002687	
TAIR	1000429566	AT4G08345	sequence	CP002687	
TAIR	1000429567	AT4G27875	sequence	CP002687	
TAIR	1000429568	AT4G27885	sequence	CP002687	
TAIR	1000429569	AT4G26385	sequence	CP002687	
TAIR	1000429570	AT4G26375	sequence	CP002687	
TAIR	1000429571	AT4G26225	sequence	CP002687	
TAIR	1000429593	AT4G39345	sequence	CP002687	
TAIR	1000429594	AT4G39195	sequence	CP002687	
TAIR	1000429595	AT4G11177	sequence	CP002687	
TAIR	1000429598	AT4G24025	sequence	CP002687	
TAIR	1000429599	AT4G00985	sequence	CP002687	
TAIR	1000429602	AT4G26675	sequence	CP002687	
TAIR	1000429605	AT4G22754	sequence	CP002687	
TAIR	1000429606	AT4G22785	sequence	CP002687	
TAIR	1000429628	AT4G02055	sequence	CP002687	
TAIR	1000429629	AT4G22265	sequence	CP002687	
TAIR	1000429630	AT4G25585	sequence	CP002687	
TAIR	1000429631	AT4G27395	sequence	CP002687	
TAIR	1000429632	AT4G25635	sequence	CP002687	
TAIR	1000429633	AT4G16475	sequence	CP002687	
TAIR	1000429634	AT4G14345	sequence	CP002687	
TAIR	1000429635	AT4G16235	sequence	CP002687	
TAIR	1000429636	AT4G17612	sequence	CP002687	
TAIR	1000429637	AT4G16465	sequence	CP002687	
TAIR	1000429638	AT4G17765	sequence	CP002687	
TAIR	1000429639	AT4G16105	sequence	CP002687	
TAIR	1000429640	AT4G15775	sequence	CP002687	
TAIR	1000429641	AT4G14415	sequence	CP002687	
TAIR	1000429648	AT4G03435	sequence	CP002687	
TAIR	1000429673	AT4G23635	sequence	CP002687	
TAIR	1000429675	AT4G11355	sequence	CP002687	
