#idx  target         classification  strnd   p/f  unexpected_features
#---  -------------  --------------  -----  ----  -------------------
1     URS000083FA52  LSU.Bacteria    plus   FAIL  *DuplicateRegion:(1049-1124)_hits_1_and_2(M:1049.1407,926.1124,S:1781.2177,151.352);LowScore:(0.03<0.50);LowCoverage:(0.287<0.860);MultipleHits:(3:SI[M:-76(1049..1124),S:1428(353..1780)],NH[M:235(1408..1642),S:123(2178..2300)]);
2     URS0000C3EA9A  LSU.Bacteria    plus   PASS  LowScore:(0.44<0.50);LowCoverage:(0.808<0.860);
3     URS0000D409C5  -               -      FAIL  *NoHits;
4     URS00008CD979  LSU.Bacteria    plus   PASS  -
5     URS00002AF18C  LSU.Bacteria    plus   PASS  LowScore:(0.46<0.50);
6     URS0000EE662D  LSU.Bacteria    plus   PASS  -
7     URS00002FE3B9  LSU.Bacteria    plus   PASS  LowScore:(0.34<0.50);
8     URS000044349B  LSU.Bacteria    plus   PASS  -
9     URS000032FC9D  LSU.Bacteria    plus   PASS  -
10    URS0000724FE4  LSU.Bacteria    plus   PASS  LowScore:(0.46<0.50);
11    URS00009DF1B3  LSU.Bacteria    plus   PASS  LowScore:(0.37<0.50);LowCoverage:(0.826<0.860);
12    URS00008C7538  LSU.Bacteria    plus   PASS  -
13    URS00003DE1CA  LSU.Bacteria    plus   PASS  LowScore:(0.36<0.50);
14    URS000013AB68  LSU.Bacteria    plus   PASS  LowScore:(0.23<0.50);LowCoverage:(0.319<0.860);
15    URS0000557C1B  LSU.Bacteria    plus   PASS  LowScore:(0.23<0.50);LowCoverage:(0.317<0.860);
16    URS0000237B79  LSU.Bacteria    plus   PASS  LowScore:(0.23<0.50);
17    URS0000730A48  LSU.Bacteria    plus   PASS  LowScore:(0.19<0.50);LowCoverage:(0.278<0.860);
18    URS00008CB07B  LSU.Bacteria    plus   PASS  -
19    URS00005F8BC8  LSU.Bacteria    plus   PASS  LowScore:(0.42<0.50);
20    URS00009AC20F  LSU.Bacteria    plus   PASS  LowScore:(0.27<0.50);LowCoverage:(0.476<0.860);
21    URS00005E5E33  LSU.Bacteria    plus   PASS  LowScore:(0.14<0.50);LowCoverage:(0.502<0.860);
22    URS00005A7D3F  LSU.Bacteria    plus   PASS  LowScore:(0.35<0.50);
23    URS000052C27F  -               -      FAIL  *NoHits;
24    URS00006C8504  LSU.Bacteria    plus   PASS  -
25    URS00002C92BC  LSU.Bacteria    plus   PASS  LowScore:(0.25<0.50);LowCoverage:(0.354<0.860);
26    URS0000346596  LSU.Bacteria    plus   PASS  LowScore:(0.25<0.50);LowCoverage:(0.360<0.860);
27    URS00006995E3  LSU.Bacteria    plus   PASS  LowScore:(0.47<0.50);
28    URS00000FC8AF  LSU.Bacteria    plus   PASS  LowScore:(0.38<0.50);
29    URS00006DABCB  -               -      FAIL  *NoHits;
30    URS0000465FDA  LSU.Bacteria    plus   PASS  -
31    URS00003C46D5  LSU.Bacteria    plus   PASS  LowScore:(0.21<0.50);
32    URS0000A66029  LSU.Bacteria    plus   PASS  LowScore:(0.11<0.50);LowCoverage:(0.229<0.860);
33    URS000028D480  -               -      FAIL  *NoHits;
34    URS0000452528  -               -      FAIL  *NoHits;
35    URS0000D9BD32  LSU.Bacteria    plus   PASS  LowScore:(0.50<0.50);
36    URS000052EC7B  LSU.Bacteria    plus   PASS  LowScore:(0.14<0.50);LowCoverage:(0.317<0.860);
37    URS00002DE642  LSU.Bacteria    plus   PASS  LowScore:(0.19<0.50);LowCoverage:(0.261<0.860);
38    URS0000EDCAC2  LSU.Bacteria    plus   PASS  -
39    URS00000E4C5B  LSU.Bacteria    plus   PASS  -
40    URS0000D2C4B4  LSU.Bacteria    plus   PASS  LowScore:(0.25<0.50);
41    URS00008019FF  LSU.Bacteria    plus   PASS  LowScore:(0.21<0.50);
42    URS0000621494  LSU.Bacteria    plus   PASS  LowScore:(0.17<0.50);LowCoverage:(0.395<0.860);
43    URS0000BC0B07  LSU.Bacteria    plus   PASS  -
44    URS0000304245  LSU.Bacteria    plus   PASS  LowScore:(0.05<0.50);LowCoverage:(0.199<0.860);
45    URS0000DC092F  LSU.Bacteria    plus   FAIL  *DuplicateRegion:(1359-2361)_hits_1_and_2(M:552.2361,1359.2904,S:2.1811,1813.3358);MultipleHits:(2:SI[M:-1003(1359..2361),S:1(1812..1812)]);
46    URS0000C7D7DD  LSU.Bacteria    plus   PASS  LowScore:(0.38<0.50);LowCoverage:(0.808<0.860);MultipleHits:(4:MD[M:207(225..431),S:0(64..65)],NH[M:143(918..1060),S:11(498..508)],NH[M:1045(2273..3317),S:729(1772..2500)]);
47    URS00001C0A11  LSU.Bacteria    plus   PASS  LowScore:(0.19<0.50);MultipleHits:(2:NH[M:195(1017..1211),S:39(97..135)]);
48    URS00000A193F  LSU.Bacteria    plus   PASS  LowScore:(0.13<0.50);LowCoverage:(0.192<0.860);
49    URS00002321D8  LSU.Bacteria    plus   PASS  LowScore:(0.24<0.50);LowCoverage:(0.471<0.860);
50    URS0000EC3439  LSU.Bacteria    minus  PASS  MinusStrand;LowScore:(0.10<0.50);LowCoverage:(0.242<0.860);
51    URS00005EF3DE  LSU.Bacteria    plus   PASS  LowScore:(0.45<0.50);
52    URS000061D1D7  LSU.Bacteria    plus   PASS  LowScore:(0.24<0.50);LowCoverage:(0.384<0.860);MultipleHits:(2:SI[M:-10(161..170),S:162(355..516)]);
53    URS000099452D  LSU.Bacteria    plus   PASS  LowScore:(0.40<0.50);
54    URS0000AF4DA0  LSU.Bacteria    plus   PASS  -
55    URS0000D8CA25  LSU.Bacteria    plus   PASS  -
56    URS000038F14D  LSU.Bacteria    plus   PASS  LowScore:(0.12<0.50);LowCoverage:(0.265<0.860);
57    URS0000EE3CC0  LSU.Bacteria    plus   PASS  -
58    URS0000DCB630  LSU.Bacteria    plus   PASS  -
59    URS0000750438  LSU.Bacteria    plus   PASS  LowScore:(0.18<0.50);LowCoverage:(0.252<0.860);
60    URS0000C1560D  LSU.Bacteria    plus   PASS  -
61    URS00001829DB  LSU.Bacteria    plus   PASS  LowScore:(0.19<0.50);LowCoverage:(0.272<0.860);
62    URS00009F1508  LSU.Bacteria    plus   PASS  -
63    URS000058B027  -               -      FAIL  *NoHits;
64    URS00003DCC9A  LSU.Bacteria    plus   PASS  LowScore:(0.16<0.50);
65    URS000004CF83  LSU.Bacteria    plus   PASS  LowScore:(0.13<0.50);LowCoverage:(0.481<0.860);
66    URS0000383296  LSU.Bacteria    plus   PASS  LowScore:(0.16<0.50);LowCoverage:(0.357<0.860);
67    URS00007336B2  LSU.Bacteria    plus   PASS  LowScore:(0.23<0.50);
68    URS00004DC6A2  LSU.Bacteria    plus   PASS  LowScore:(0.35<0.50);LowCoverage:(0.483<0.860);
69    URS0000594829  LSU.Bacteria    plus   PASS  -
70    URS00000AB873  LSU.Bacteria    plus   PASS  LowScore:(0.24<0.50);LowCoverage:(0.308<0.860);
